SN	Distance_X_LOGO_MainBoard_RD1	Distance_X_LOGO_MainBoard_RD2	Distance_X_LOGO_MainBoard_RD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_RD1	Distance_Y_LOGO_MainBoard_RD2	Distance_Y_LOGO_MainBoard_RD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_RD1	Angle_MainBoard_RD2	Angle_MainBoard_RD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-64.373	-64.341	-64.269	-64.345	-64.268	-64.309	-64.232	-64.345	-64.309	-64.345	-64.268	-64.267	-64.346	-64.269	-64.268	-64.269	-64.267	-64.265	-64.268	-64.269	-64.269	-64.264	-64.268	-64.344	-64.269	-64.269	-64.269	-64.269	-64.268	-64.269	-64.269	-64.265	-94.242	-94.276	-94.242	-94.280	-94.244	-94.280	-94.214	-94.239	-94.280	-94.239	-94.244	-94.277	-94.244	-94.272	-94.310	-94.272	-94.277	-94.283	-94.310	-94.279	-94.272	-94.316	-94.310	-94.245	-94.242	-94.242	-94.279	-94.242	-94.244	-94.279	-94.315	-94.283	235.406	235.428	235.449	235.428	235.450	235.443	235.456	235.416	235.443	235.416	235.450	235.459	235.417	235.457	235.468	235.457	235.459	235.462	235.468	235.459	235.457	235.472	235.468	235.418	235.449	235.449	235.459	235.449	235.450	235.459	235.469	235.462	2016_7_15_10_11_20
F2LS3GSUHFM5____	-64.301	-64.268	-64.147	-64.229	-64.191	-64.191	-64.155	-64.227	-64.191	-64.227	-64.191	-64.187	-64.228	-64.148	-64.146	-64.148	-64.187	-64.152	-64.146	-64.192	-64.148	-64.150	-64.146	-64.229	-64.147	-64.147	-64.192	-64.147	-64.191	-64.192	-64.192	-64.152	-94.098	-94.099	-94.103	-94.173	-94.103	-94.132	-94.070	-94.130	-94.132	-94.130	-94.103	-94.137	-94.099	-94.137	-94.136	-94.137	-94.137	-94.141	-94.136	-94.138	-94.137	-94.174	-94.136	-94.136	-94.103	-94.103	-94.138	-94.103	-94.103	-94.138	-94.169	-94.141	235.373	235.387	235.439	235.424	235.420	235.429	235.426	235.413	235.429	235.413	235.420	235.432	235.404	235.448	235.448	235.448	235.432	235.447	235.448	235.430	235.448	235.458	235.448	235.414	235.439	235.439	235.430	235.439	235.420	235.430	235.439	235.447	2016_7_15_10_11_25
F2LS3GZKHFM5____	-64.841	-64.808	-64.727	-64.771	-64.732	-64.734	-64.701	-64.770	-64.734	-64.770	-64.732	-64.732	-64.764	-64.693	-64.772	-64.693	-64.732	-64.700	-64.772	-64.736	-64.693	-64.695	-64.772	-64.823	-64.727	-64.727	-64.736	-64.727	-64.732	-64.736	-64.737	-64.700	-93.717	-93.715	-93.680	-93.757	-93.681	-93.715	-93.685	-93.711	-93.715	-93.711	-93.681	-93.713	-93.678	-93.713	-93.760	-93.713	-93.713	-93.720	-93.760	-93.722	-93.713	-93.754	-93.760	-93.723	-93.680	-93.680	-93.722	-93.680	-93.681	-93.722	-93.757	-93.720	235.689	235.702	235.725	235.729	235.723	235.732	235.737	235.716	235.732	235.716	235.723	235.733	235.709	235.749	235.729	235.749	235.733	235.748	235.729	235.733	235.749	235.760	235.729	235.698	235.725	235.725	235.733	235.725	235.723	235.733	235.743	235.748	2016_7_15_10_59_52
F2LS3HTSHFM5____	-64.428	-64.394	-64.320	-64.359	-64.323	-64.323	-64.287	-64.358	-64.323	-64.358	-64.323	-64.321	-64.358	-64.321	-64.320	-64.321	-64.321	-64.287	-64.320	-64.324	-64.321	-64.332	-64.320	-64.406	-64.320	-64.320	-64.324	-64.320	-64.323	-64.324	-64.326	-64.287	-94.143	-94.141	-94.110	-94.186	-94.116	-94.149	-94.118	-94.145	-94.149	-94.145	-94.116	-94.186	-94.111	-94.188	-94.226	-94.188	-94.186	-94.190	-94.226	-94.189	-94.188	-94.228	-94.226	-94.195	-94.110	-94.110	-94.189	-94.110	-94.116	-94.189	-94.222	-94.190	235.963	235.976	235.998	236.003	235.999	236.008	236.014	235.992	236.008	235.992	235.999	236.019	235.983	236.020	236.031	236.020	236.019	236.035	236.031	236.019	236.020	236.027	236.031	235.987	235.998	235.998	236.019	235.998	235.999	236.019	236.027	236.035	2016_7_15_10_11_34
F2LS3J5VHFM5____	-64.419	-64.387	-64.309	-64.350	-64.313	-64.357	-64.274	-64.350	-64.357	-64.350	-64.313	-64.315	-64.349	-64.313	-64.312	-64.313	-64.315	-64.278	-64.312	-64.312	-64.313	-64.272	-64.312	-64.349	-64.309	-64.309	-64.312	-64.309	-64.313	-64.312	-64.313	-64.278	-94.168	-94.165	-94.172	-94.245	-94.134	-94.211	-94.139	-94.165	-94.211	-94.165	-94.134	-94.169	-94.133	-94.165	-94.204	-94.165	-94.169	-94.171	-94.204	-94.211	-94.165	-94.205	-94.204	-94.169	-94.172	-94.172	-94.211	-94.172	-94.134	-94.211	-94.244	-94.171	235.399	235.412	235.446	235.450	235.433	235.437	235.451	235.427	235.437	235.427	235.433	235.443	235.419	235.443	235.454	235.443	235.443	235.459	235.454	235.456	235.443	235.471	235.454	235.429	235.446	235.446	235.456	235.446	235.433	235.456	235.465	235.459	2016_7_15_10_11_43
F2LS3JECHFM5____	-64.648	-64.616	-64.546	-64.581	-64.547	-64.544	-64.512	-64.581	-64.544	-64.581	-64.547	-64.544	-64.580	-64.545	-64.544	-64.545	-64.544	-64.505	-64.544	-64.583	-64.545	-64.548	-64.544	-64.620	-64.546	-64.546	-64.583	-64.546	-64.547	-64.583	-64.546	-64.505	-94.319	-94.286	-94.252	-94.362	-94.256	-94.324	-94.257	-94.323	-94.324	-94.323	-94.256	-94.287	-94.287	-94.317	-94.355	-94.317	-94.287	-94.325	-94.355	-94.333	-94.317	-94.361	-94.355	-94.329	-94.252	-94.252	-94.333	-94.252	-94.256	-94.333	-94.360	-94.325	235.867	235.871	235.890	235.907	235.890	235.911	235.905	235.895	235.911	235.895	235.890	235.901	235.886	235.909	235.920	235.909	235.901	235.927	235.920	235.898	235.909	235.920	235.920	235.881	235.890	235.890	235.898	235.890	235.890	235.898	235.921	235.927	2016_7_15_10_11_51
F2LS3KP7HFM5____	-64.363	-64.333	-64.199	-64.293	-64.256	-64.255	-64.163	-64.339	-64.255	-64.339	-64.256	-64.250	-64.292	-64.247	-64.243	-64.247	-64.250	-64.261	-64.243	-64.256	-64.247	-64.166	-64.243	-64.294	-64.199	-64.199	-64.256	-64.199	-64.256	-64.256	-64.258	-64.261	-94.185	-94.185	-94.130	-94.191	-94.126	-94.158	-94.134	-94.185	-94.158	-94.185	-94.126	-94.160	-94.153	-94.159	-94.201	-94.159	-94.160	-94.162	-94.201	-94.157	-94.159	-94.206	-94.201	-94.156	-94.130	-94.130	-94.157	-94.130	-94.126	-94.157	-94.190	-94.162	235.407	235.420	235.460	235.438	235.435	235.444	235.476	235.417	235.444	235.417	235.435	235.447	235.427	235.448	235.461	235.448	235.447	235.443	235.461	235.444	235.448	235.495	235.461	235.428	235.460	235.460	235.444	235.460	235.435	235.444	235.452	235.443	2016_7_15_10_11_54
F2LS3JTDHFM5____	-64.761	-64.681	-64.606	-64.646	-64.607	-64.652	-64.573	-64.645	-64.652	-64.645	-64.607	-64.608	-64.646	-64.608	-64.609	-64.608	-64.608	-64.610	-64.609	-64.608	-64.608	-64.568	-64.609	-64.645	-64.606	-64.606	-64.608	-64.606	-64.607	-64.608	-64.610	-64.610	-94.176	-94.091	-94.055	-94.166	-94.097	-94.173	-94.061	-94.125	-94.173	-94.125	-94.097	-94.128	-94.055	-94.129	-94.167	-94.129	-94.128	-94.140	-94.167	-94.134	-94.129	-94.169	-94.167	-94.131	-94.055	-94.055	-94.134	-94.055	-94.097	-94.134	-94.166	-94.140	235.821	235.830	235.851	235.866	235.862	235.865	235.866	235.854	235.865	235.854	235.862	235.871	235.834	235.871	235.882	235.871	235.871	235.873	235.882	235.873	235.871	235.899	235.882	235.856	235.851	235.851	235.873	235.851	235.862	235.873	235.881	235.873	2016_7_15_10_12_01
F2LS3JJ8HFM5____	-64.798	-64.766	-64.689	-64.729	-64.692	-64.693	-64.655	-64.729	-64.693	-64.729	-64.692	-64.690	-64.727	-64.688	-64.689	-64.688	-64.690	-64.656	-64.689	-64.692	-64.688	-64.654	-64.689	-64.728	-64.689	-64.689	-64.692	-64.689	-64.692	-64.692	-64.694	-64.656	-94.083	-94.081	-94.047	-94.125	-94.050	-94.087	-94.053	-94.081	-94.087	-94.081	-94.050	-94.085	-94.046	-94.084	-94.122	-94.084	-94.085	-94.119	-94.122	-94.088	-94.084	-94.123	-94.122	-94.084	-94.047	-94.047	-94.088	-94.047	-94.050	-94.088	-94.124	-94.119	235.197	235.210	235.232	235.238	235.232	235.242	235.248	235.225	235.242	235.225	235.232	235.243	235.216	235.243	235.254	235.243	235.243	235.267	235.254	235.243	235.243	235.268	235.254	235.227	235.232	235.232	235.243	235.232	235.232	235.243	235.252	235.267	2016_7_15_10_12_05
F2LS3JHAHFM5____	-64.526	-64.494	-64.416	-64.461	-64.421	-64.421	-64.434	-64.458	-64.421	-64.458	-64.421	-64.421	-64.498	-64.420	-64.456	-64.420	-64.421	-64.384	-64.456	-64.423	-64.420	-64.385	-64.456	-64.460	-64.416	-64.416	-64.423	-64.416	-64.421	-64.423	-64.424	-64.384	-94.146	-94.140	-94.110	-94.187	-94.115	-94.145	-94.164	-94.143	-94.145	-94.143	-94.115	-94.149	-94.114	-94.147	-94.187	-94.147	-94.149	-94.152	-94.187	-94.155	-94.147	-94.186	-94.187	-94.151	-94.110	-94.110	-94.155	-94.110	-94.115	-94.155	-94.185	-94.152	235.331	235.342	235.366	235.369	235.365	235.374	235.374	235.358	235.374	235.358	235.365	235.375	235.333	235.375	235.371	235.375	235.375	235.391	235.371	235.376	235.375	235.400	235.371	235.359	235.366	235.366	235.376	235.366	235.365	235.376	235.384	235.391	2016_7_15_10_12_09
F2LS3TRWHFM5____	-64.564	-64.495	-64.414	-64.455	-64.457	-64.458	-64.420	-64.496	-64.458	-64.496	-64.457	-64.413	-64.494	-64.415	-64.414	-64.415	-64.413	-64.418	-64.414	-64.459	-64.415	-64.375	-64.414	-64.496	-64.414	-64.414	-64.459	-64.414	-64.457	-64.459	-64.459	-64.418	-94.235	-94.235	-94.201	-94.267	-94.201	-94.234	-94.204	-94.231	-94.234	-94.231	-94.201	-94.235	-94.199	-94.233	-94.270	-94.233	-94.235	-94.236	-94.270	-94.235	-94.233	-94.273	-94.270	-94.237	-94.201	-94.201	-94.235	-94.201	-94.201	-94.235	-94.271	-94.236	235.419	235.447	235.471	235.473	235.453	235.462	235.469	235.446	235.462	235.446	235.453	235.481	235.438	235.480	235.491	235.480	235.481	235.479	235.491	235.462	235.480	235.507	235.491	235.447	235.471	235.471	235.462	235.471	235.453	235.462	235.472	235.479	2016_7_15_10_12_12
F2LS31DNHFLX____	-64.707	-64.673	-64.593	-64.638	-64.600	-64.601	-64.563	-64.635	-64.601	-64.635	-64.600	-64.594	-64.635	-64.594	-64.595	-64.594	-64.594	-64.561	-64.595	-64.603	-64.594	-64.561	-64.595	-64.636	-64.593	-64.593	-64.603	-64.593	-64.600	-64.603	-64.602	-64.561	-94.126	-94.091	-94.056	-94.163	-94.059	-94.093	-94.065	-94.088	-94.093	-94.088	-94.059	-94.091	-94.055	-94.087	-94.126	-94.087	-94.091	-94.094	-94.126	-94.096	-94.087	-94.161	-94.126	-94.129	-94.056	-94.056	-94.096	-94.056	-94.059	-94.096	-94.164	-94.094	235.250	235.254	235.278	235.289	235.275	235.284	235.292	235.269	235.284	235.269	235.275	235.287	235.260	235.286	235.296	235.286	235.287	235.301	235.296	235.285	235.286	235.320	235.296	235.280	235.278	235.278	235.285	235.278	235.275	235.285	235.304	235.301	2016_7_15_10_12_15
F2LS31K1HFLX____	-64.585	-64.554	-64.480	-64.520	-64.483	-64.482	-64.482	-64.520	-64.482	-64.520	-64.483	-64.481	-64.519	-64.479	-64.480	-64.479	-64.481	-64.446	-64.480	-64.481	-64.479	-64.444	-64.480	-64.521	-64.480	-64.480	-64.481	-64.480	-64.483	-64.481	-64.483	-64.446	-94.006	-94.004	-93.974	-94.048	-93.978	-94.008	-93.982	-94.007	-94.008	-94.007	-93.978	-94.009	-93.974	-94.046	-94.048	-94.046	-94.009	-94.013	-94.048	-94.050	-94.046	-94.085	-94.048	-94.014	-93.974	-93.974	-94.050	-93.974	-93.978	-94.050	-94.046	-94.013	235.169	235.181	235.204	235.208	235.203	235.212	235.205	235.197	235.212	235.197	235.203	235.213	235.187	235.225	235.225	235.225	235.213	235.229	235.225	235.225	235.225	235.250	235.225	235.198	235.204	235.204	235.225	235.204	235.203	235.225	235.223	235.229	2016_7_15_10_12_19
F2LS39V4GRXL____	-64.620	-64.545	-64.472	-64.549	-64.514	-64.512	-64.473	-64.510	-64.512	-64.510	-64.514	-64.472	-64.506	-64.511	-64.509	-64.511	-64.472	-64.476	-64.509	-64.518	-64.511	-64.472	-64.509	-64.513	-64.472	-64.472	-64.518	-64.472	-64.514	-64.518	-64.520	-64.476	-94.055	-94.053	-94.024	-94.057	-94.030	-94.062	-93.991	-94.056	-94.062	-94.056	-94.030	-94.058	-94.023	-94.064	-94.101	-94.064	-94.058	-94.070	-94.101	-94.113	-94.064	-94.064	-94.101	-94.063	-94.024	-94.024	-94.113	-94.024	-94.030	-94.113	-94.144	-94.070	235.142	235.172	235.194	235.172	235.179	235.188	235.185	235.188	235.188	235.188	235.179	235.204	235.180	235.190	235.201	235.190	235.204	235.206	235.201	235.201	235.190	235.206	235.201	235.188	235.194	235.194	235.201	235.194	235.179	235.201	235.209	235.206	2016_7_15_10_12_23
F2LS336YHFM5____	-64.727	-64.694	-64.615	-64.655	-64.619	-64.620	-64.584	-64.656	-64.620	-64.656	-64.619	-64.617	-64.655	-64.617	-64.617	-64.617	-64.617	-64.583	-64.617	-64.661	-64.617	-64.583	-64.617	-64.697	-64.615	-64.615	-64.661	-64.615	-64.619	-64.661	-64.664	-64.583	-94.080	-94.076	-94.043	-94.111	-94.003	-94.110	-94.011	-94.073	-94.110	-94.073	-94.003	-94.078	-94.040	-94.075	-94.114	-94.075	-94.078	-94.079	-94.114	-94.121	-94.075	-94.147	-94.114	-94.118	-94.043	-94.043	-94.121	-94.043	-94.003	-94.121	-94.154	-94.079	235.105	235.117	235.141	235.143	235.127	235.158	235.144	235.132	235.158	235.132	235.127	235.150	235.123	235.149	235.160	235.149	235.150	235.164	235.160	235.144	235.149	235.183	235.160	235.128	235.141	235.141	235.144	235.141	235.127	235.144	235.152	235.164	2016_7_15_10_12_28
