SN	Distance_X_LOGO_Front_Camera_RU1	Distance_X_LOGO_Front_Camera_RU2	Distance_X_LOGO_Front_Camera_RU3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Front_Camera_RU1	Distance_Y_LOGO_Front_Camera_RU2	Distance_Y_LOGO_Front_Camera_RU3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Front_Camera_RU1	Angle_Front_Camera_RU2	Angle_Front_Camera_RU3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS2SV5HFM2____	-25.900	-25.792	-25.865	-25.690	-25.865	-25.651	-25.790	-25.758	-25.648	-25.790	-25.788	-25.651	-25.757	-25.788	-25.757	-25.756	-25.931	-25.825	-25.726	-25.830	-25.758	-25.794	-25.862	-25.760	-25.827	-25.862	-25.935	-25.795	-25.727	-25.690	-25.935	-25.829	139.090	139.150	139.090	139.080	139.090	139.047	139.148	139.080	139.110	139.224	139.155	139.107	139.110	139.155	139.182	139.113	139.190	139.147	139.004	138.985	139.074	139.085	139.114	139.075	139.145	139.120	139.195	139.125	139.077	139.160	138.915	139.185	100.551	100.503	100.537	100.468	100.537	100.455	100.503	100.495	100.449	100.497	100.502	100.451	100.493	100.502	100.487	100.492	100.556	100.517	100.488	100.531	100.496	100.509	100.534	100.496	100.518	100.534	100.557	100.506	100.483	100.462	100.578	100.516	2016_7_15_9_05_47
F2LS3GSUHFM5____	-26.123	-26.090	-26.087	-26.017	-26.156	-25.947	-26.081	-26.084	-25.978	-26.085	-26.086	-25.980	-26.052	-26.086	-26.085	-26.050	-26.225	-26.122	-26.021	-26.049	-26.086	-26.088	-26.159	-26.049	-26.121	-26.155	-26.223	-26.084	-26.036	-25.979	-26.230	-26.124	139.124	139.126	139.121	139.045	139.125	139.048	139.125	139.052	139.085	139.197	139.119	139.082	139.085	139.119	139.158	139.083	139.161	139.122	139.007	139.004	139.049	139.049	139.088	139.051	139.121	139.085	139.229	139.158	138.962	139.196	138.941	139.161	100.474	100.460	100.459	100.437	100.487	100.409	100.456	100.463	100.419	100.453	100.459	100.420	100.448	100.459	100.456	100.448	100.511	100.473	100.442	100.453	100.464	100.465	100.491	100.450	100.473	100.489	100.505	100.455	100.451	100.411	100.530	100.471	2016_7_15_9_05_51
F2LS3GZKHFM5____	-25.776	-25.737	-25.738	-25.629	-25.810	-25.597	-25.770	-25.738	-25.591	-25.738	-25.744	-25.634	-25.708	-25.744	-25.703	-25.697	-25.875	-25.771	-25.669	-25.700	-25.735	-25.741	-25.808	-25.665	-25.772	-25.814	-25.872	-25.735	-25.702	-25.697	-25.882	-25.776	139.133	139.191	139.133	139.056	139.133	139.064	139.186	139.067	139.194	139.267	139.175	139.139	139.098	139.175	139.223	138.988	139.228	139.127	139.047	139.002	139.065	139.071	139.096	139.071	139.131	139.138	139.297	139.265	139.067	139.093	138.967	139.225	100.460	100.440	100.445	100.407	100.474	100.394	100.454	100.450	100.382	100.435	100.444	100.403	100.435	100.444	100.425	100.439	100.493	100.459	100.424	100.440	100.449	100.451	100.475	100.421	100.459	100.475	100.486	100.434	100.436	100.432	100.515	100.453	2016_7_15_9_05_58
F2LS3HTSHFM5____	-26.035	-25.932	-25.932	-25.864	-26.001	-25.823	-25.962	-25.965	-25.795	-25.933	-25.929	-25.895	-25.900	-25.929	-25.900	-25.898	-26.114	-25.964	-25.869	-25.926	-25.969	-25.936	-26.002	-25.869	-25.965	-26.038	-26.112	-25.930	-25.930	-25.832	-26.075	-25.968	139.091	139.061	139.093	139.030	139.131	139.021	139.056	139.028	139.054	139.201	139.071	139.056	139.053	139.071	139.168	139.102	139.172	139.127	138.980	138.999	139.022	139.069	139.092	139.011	139.127	139.031	139.198	139.126	138.986	139.162	138.911	139.163	100.593	100.554	100.552	100.529	100.577	100.514	100.567	100.570	100.500	100.544	100.552	100.540	100.542	100.552	100.534	100.538	100.618	100.562	100.535	100.557	100.572	100.555	100.580	100.533	100.562	100.599	100.616	100.549	100.559	100.507	100.622	100.561	2016_7_15_9_06_02
F2LS3J5VHFM5____	-26.035	-25.932	-25.932	-25.864	-26.001	-25.823	-25.962	-25.965	-25.795	-25.933	-25.929	-25.895	-25.900	-25.929	-25.900	-25.898	-26.114	-25.964	-25.869	-25.926	-25.969	-25.936	-26.002	-25.869	-25.965	-26.038	-26.112	-25.930	-25.930	-25.832	-26.075	-25.968	139.091	139.061	139.093	139.030	139.131	139.021	139.056	139.028	139.054	139.201	139.071	139.056	139.053	139.071	139.168	139.102	139.172	139.127	138.980	138.999	139.022	139.069	139.092	139.011	139.127	139.031	139.198	139.126	138.986	139.162	138.911	139.163	100.593	100.554	100.552	100.529	100.577	100.514	100.567	100.570	100.500	100.544	100.552	100.540	100.542	100.552	100.534	100.538	100.618	100.562	100.535	100.557	100.572	100.555	100.580	100.533	100.562	100.599	100.616	100.549	100.559	100.507	100.622	100.561	2016_7_15_9_06_20
F2LS3JECHFM5____	-26.205	-26.209	-26.169	-26.099	-26.239	-26.026	-26.169	-26.166	-26.060	-26.168	-26.170	-26.060	-26.169	-26.170	-26.170	-26.133	-26.313	-26.205	-26.105	-26.133	-26.169	-26.204	-26.285	-26.136	-26.202	-26.240	-26.315	-26.171	-26.134	-26.099	-26.311	-26.207	139.014	139.038	139.014	138.942	139.015	138.912	139.011	138.945	138.975	139.080	139.046	139.001	138.971	139.046	139.042	138.975	139.074	139.012	138.899	138.909	138.942	138.915	138.969	138.938	139.009	139.010	139.113	139.041	138.943	139.081	138.841	139.072	100.888	100.888	100.874	100.851	100.901	100.824	100.874	100.878	100.833	100.868	100.872	100.831	100.877	100.872	100.872	100.862	100.926	100.888	100.857	100.867	100.879	100.895	100.923	100.866	100.887	100.902	100.924	100.872	100.865	100.841	100.943	100.884	2016_7_15_9_06_32
F2LS3JHAHFM5____	-25.833	-25.796	-25.795	-25.688	-25.870	-25.615	-25.757	-25.761	-25.649	-25.794	-25.798	-25.651	-25.728	-25.798	-25.797	-25.759	-25.935	-25.831	-25.729	-25.757	-25.759	-25.799	-25.868	-25.727	-25.834	-25.872	-25.937	-25.796	-25.762	-25.690	-25.940	-25.835	139.113	139.118	139.111	139.000	139.112	139.040	139.117	139.039	139.081	139.190	139.081	139.077	139.074	139.081	139.150	139.041	139.153	139.110	138.978	138.949	139.039	139.008	138.994	139.047	139.078	139.072	139.221	139.148	139.007	139.188	138.909	139.152	100.401	100.386	100.386	100.351	100.415	100.319	100.370	100.378	100.330	100.380	100.389	100.331	100.362	100.389	100.384	100.377	100.438	100.400	100.370	100.383	100.377	100.395	100.424	100.363	100.404	100.419	100.434	100.384	100.380	100.338	100.458	100.399	2016_7_15_9_06_37
F2LS3JJ8HFM5____	-26.202	-26.203	-26.165	-26.091	-26.232	-26.020	-26.160	-26.164	-26.052	-26.163	-26.167	-26.055	-26.168	-26.167	-26.163	-26.126	-26.301	-26.197	-26.092	-26.123	-26.163	-26.167	-26.235	-26.131	-26.236	-26.238	-26.302	-26.162	-26.127	-26.056	-26.308	-26.238	139.066	139.071	139.064	138.983	139.101	138.992	139.073	138.993	139.034	139.147	139.065	139.025	139.027	139.065	139.106	139.028	139.112	139.062	138.926	138.900	138.993	138.995	139.029	138.998	139.064	139.026	139.208	139.107	138.955	139.174	138.885	139.106	100.485	100.485	100.470	100.447	100.494	100.418	100.468	100.475	100.428	100.463	100.471	100.429	100.474	100.471	100.467	100.458	100.521	100.483	100.452	100.466	100.475	100.477	100.501	100.462	100.499	100.502	100.514	100.466	100.464	100.419	100.541	100.496	2016_7_15_9_06_56
F2LS3JTDHFM5____	-25.908	-25.874	-25.868	-25.798	-25.942	-25.725	-25.866	-25.865	-25.763	-25.870	-25.875	-25.760	-25.841	-25.875	-25.838	-25.900	-26.011	-25.970	-25.803	-25.834	-25.871	-25.875	-26.005	-25.834	-25.905	-25.947	-26.011	-25.873	-25.900	-25.761	-26.005	-25.909	139.129	139.179	139.128	139.052	139.175	138.949	139.182	139.019	139.143	139.253	139.168	139.054	139.092	139.168	139.213	138.984	139.216	139.089	139.038	139.000	139.101	139.099	139.054	139.108	139.174	139.131	139.285	139.242	138.949	139.214	138.914	139.214	100.555	100.538	100.539	100.517	100.565	100.496	100.535	100.546	100.496	100.531	100.539	100.502	100.531	100.539	100.521	100.563	100.590	100.583	100.520	100.535	100.542	100.544	100.600	100.527	100.551	100.570	100.584	100.533	100.566	100.490	100.610	100.549	2016_7_15_9_06_49
F2LS3KP7HFM5____	-26.041	-26.010	-26.006	-25.935	-26.076	-25.828	-25.971	-26.005	-25.831	-26.008	-26.005	-25.901	-26.041	-26.005	-26.041	-25.971	-26.146	-26.041	-25.945	-25.971	-26.009	-26.006	-26.076	-25.982	-26.041	-26.078	-26.154	-26.013	-25.971	-25.905	-26.153	-26.044	139.083	139.135	139.083	139.082	139.083	139.068	139.129	139.080	139.048	139.206	139.111	139.048	139.048	139.111	139.188	139.069	139.048	139.083	138.982	138.978	139.108	139.013	139.048	139.052	139.083	139.117	139.205	139.172	139.013	139.208	139.012	139.170	100.702	100.686	100.688	100.660	100.716	100.618	100.671	100.688	100.621	100.680	100.686	100.649	100.705	100.686	100.694	100.675	100.747	100.702	100.671	100.682	100.687	100.693	100.719	100.681	100.702	100.714	100.738	100.684	100.680	100.639	100.752	100.697	2016_7_15_9_06_52
F2LS3TRWHFM5____	-26.049	-25.934	-26.014	-25.861	-26.003	-25.761	-25.930	-26.014	-25.793	-26.014	-25.931	-25.793	-25.865	-25.931	-25.909	-25.909	-26.084	-25.969	-25.833	-25.863	-26.014	-25.944	-26.002	-25.909	-25.968	-26.084	-26.116	-25.936	-25.979	-25.839	-26.079	-25.979	139.026	139.063	139.026	138.995	139.036	138.993	139.060	138.886	138.996	139.026	139.036	138.995	138.996	139.036	138.991	138.991	138.991	139.032	138.922	138.930	138.956	138.956	138.998	138.886	139.033	138.991	139.136	139.104	138.956	139.096	138.894	138.991	100.538	100.490	100.524	100.465	100.519	100.426	100.488	100.535	100.438	100.524	100.491	100.439	100.467	100.491	100.485	100.485	100.555	100.506	100.460	100.471	100.529	100.501	100.522	100.493	100.505	100.555	100.557	100.487	100.515	100.449	100.560	100.513	2016_7_15_9_07_02
F2LS31DNHFLX____	-25.922	-25.887	-25.886	-25.822	-25.957	-25.785	-25.887	-25.886	-25.786	-25.885	-25.888	-25.788	-25.854	-25.888	-25.853	-25.851	-26.026	-25.953	-25.852	-25.883	-25.886	-25.887	-25.988	-25.855	-25.953	-25.957	-26.023	-25.917	-25.885	-25.812	-26.030	-25.923	139.112	139.121	139.113	139.038	139.112	139.005	139.118	139.044	139.084	139.193	139.114	139.077	139.077	139.114	139.156	139.080	139.155	139.113	138.978	138.996	139.042	139.044	139.078	139.048	139.115	139.073	139.224	139.156	139.006	139.192	138.939	139.154	100.507	100.492	100.492	100.472	100.521	100.460	100.492	100.497	100.455	100.486	100.493	100.456	100.483	100.493	100.476	100.481	100.545	100.519	100.489	100.500	100.498	100.498	100.536	100.485	100.519	100.524	100.539	100.502	100.500	100.457	100.563	100.504	2016_7_15_9_07_11
F2LS31K1HFLX____	-26.048	-26.016	-25.981	-26.019	-26.081	-25.875	-26.018	-25.981	-25.873	-26.018	-26.015	-25.874	-25.982	-26.015	-25.983	-25.981	-26.157	-26.048	-25.918	-25.947	-25.985	-26.018	-26.086	-25.985	-26.050	-26.086	-26.158	-26.019	-26.018	-25.916	-26.159	-26.055	139.131	139.131	139.110	139.018	139.131	139.040	139.133	139.039	139.098	139.201	139.138	139.097	139.069	139.138	139.167	139.098	139.168	139.108	138.991	139.006	139.063	139.067	139.077	139.060	139.109	139.098	139.209	139.140	138.996	139.178	138.913	139.168	100.629	100.617	100.604	100.626	100.643	100.567	100.617	100.610	100.562	100.612	100.616	100.563	100.607	100.616	100.601	100.605	100.670	100.631	100.588	100.598	100.609	100.622	100.648	100.610	100.632	100.647	100.667	100.617	100.627	100.573	100.690	100.629	2016_7_15_9_07_20
F2LS39V4GRXL____	-26.039	-26.006	-26.006	-25.932	-26.072	-25.863	-26.003	-26.002	-25.900	-26.004	-26.004	-25.898	-25.973	-26.004	-25.970	-25.970	-26.145	-26.038	-25.939	-25.969	-26.006	-26.006	-26.076	-25.976	-26.038	-26.074	-26.145	-26.007	-25.969	-25.902	-26.146	-26.041	139.092	139.092	139.092	139.021	139.092	139.022	139.091	139.024	139.057	139.162	139.095	139.055	139.055	139.095	139.126	139.056	139.127	139.091	138.944	138.987	139.023	139.024	139.057	139.017	139.091	139.057	139.196	139.124	139.019	139.162	138.912	139.127	100.518	100.505	100.505	100.481	100.531	100.453	100.504	100.508	100.465	100.499	100.504	100.464	100.494	100.504	100.488	100.493	100.557	100.518	100.489	100.498	100.510	100.510	100.535	100.498	100.518	100.534	100.552	100.503	100.495	100.458	100.574	100.516	2016_7_15_9_07_27
F2LS336YHFM5____	-25.983	-25.950	-25.947	-25.939	-26.019	-25.803	-25.946	-25.869	-25.794	-25.947	-25.950	-25.838	-25.916	-25.950	-25.914	-25.911	-26.088	-25.983	-25.882	-25.873	-25.947	-25.953	-26.021	-25.918	-25.984	-26.022	-26.086	-25.939	-25.974	-25.843	-26.091	-25.986	139.177	139.178	139.205	139.021	139.207	139.099	139.176	139.021	139.138	139.251	139.179	139.167	139.139	139.179	139.211	139.141	139.216	139.175	139.030	139.056	139.102	139.110	139.143	139.102	139.175	139.139	139.286	139.126	139.091	139.244	138.999	139.244	100.560	100.547	100.544	100.554	100.572	100.494	100.545	100.526	100.488	100.540	100.547	100.503	100.536	100.547	100.530	100.534	100.599	100.560	100.531	100.526	100.551	100.553	100.578	100.540	100.561	100.579	100.593	100.546	100.563	100.500	100.616	100.556	2016_7_15_9_07_31
