SN	Distance_X_LOGO_Camera_LD1	Distance_X_LOGO_Camera_LD2	Distance_X_LOGO_3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Camera_LD1	Distance_Y_LOGO_Camera_LD2	Distance_Y_LOGO_3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Camera_LD1	Angle_Camera_LD2	Angle_3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
FLNS31Y0GRX5____	-55.482	-55.585	-55.446	-55.546	-55.578	-55.542	-55.479	-55.516	-55.479	-55.477	-55.444	-55.543	-55.480	-55.545	-55.479	-55.453	-55.479	-55.479	-55.445	-55.455	-55.468	-55.447	-55.444	-55.447	-55.513	-55.377	-55.346	-55.444	-55.368	-55.469	-55.440	-55.469	141.180	141.214	141.072	141.153	141.113	141.144	141.216	141.115	141.221	141.186	141.219	141.253	141.216	141.189	141.221	141.222	141.221	141.221	141.215	141.154	141.256	141.250	141.219	141.328	141.222	141.253	141.153	141.219	141.231	141.218	141.220	141.218	111.427	111.459	111.429	111.453	111.470	111.453	111.421	111.448	111.420	111.424	111.408	111.438	111.421	111.448	111.420	111.411	111.420	111.420	111.409	111.421	111.411	111.405	111.408	111.394	111.432	111.380	111.383	111.408	111.380	111.417	111.407	111.417	2016_7_16_9_24_52
FLNS32DNGRX5____	-55.840	-55.951	-55.813	-55.917	-55.962	-55.983	-55.848	-55.889	-55.849	-55.883	-55.812	-55.905	-55.884	-55.919	-55.849	-55.816	-55.849	-55.849	-55.808	-55.813	-55.848	-55.813	-55.812	-55.812	-55.885	-55.737	-55.127	-55.812	-55.743	-55.849	-55.807	-55.849	141.071	141.140	140.997	141.072	141.074	141.035	141.068	141.026	141.139	141.074	141.133	141.139	141.110	141.073	141.139	141.142	141.139	141.139	141.107	141.046	141.164	141.166	141.133	141.238	141.139	141.144	140.766	141.133	141.150	141.126	141.141	141.126	111.642	111.672	111.643	111.669	111.685	111.698	111.646	111.666	111.636	111.657	111.624	111.656	111.652	111.670	111.636	111.624	111.636	111.636	111.626	111.636	111.632	111.619	111.624	111.609	111.649	111.596	111.433	111.624	111.597	111.638	111.621	111.638	2016_7_16_9_24_55
FLNS32G4GRX5____	-55.564	-55.670	-55.571	-55.635	-55.682	-55.667	-55.562	-55.601	-55.605	-55.565	-55.566	-55.676	-55.609	-55.642	-55.605	-55.533	-55.605	-55.605	-55.573	-55.492	-55.559	-55.529	-55.566	-55.575	-55.601	-55.457	-55.459	-55.566	-55.456	-55.566	-55.526	-55.566	141.217	141.252	141.122	141.184	141.178	141.183	141.211	141.146	141.258	141.216	141.257	141.249	141.260	141.249	141.258	141.214	141.258	141.258	141.255	141.187	141.226	141.285	141.257	141.321	141.254	141.288	141.165	141.257	141.257	141.284	141.252	141.284	111.408	111.441	111.424	111.438	111.455	111.449	111.409	111.431	111.417	111.409	111.403	111.443	111.418	111.431	111.417	111.398	111.417	111.417	111.406	111.387	111.405	111.386	111.403	111.398	111.416	111.361	111.379	111.403	111.365	111.400	111.390	111.400	2016_7_16_9_24_58
FLQS30BYGRX8____	-55.836	-55.939	-55.801	-55.907	-55.948	-55.946	-55.840	-55.872	-55.837	-55.843	-55.801	-55.905	-55.833	-55.905	-55.837	-55.767	-55.837	-55.837	-55.801	-55.766	-55.837	-55.802	-55.801	-55.801	-55.871	-55.733	-55.700	-55.801	-55.735	-55.837	-55.800	-55.837	141.158	141.160	141.020	141.126	141.090	141.124	141.147	141.051	141.157	141.153	141.155	141.193	141.129	141.127	141.157	141.158	141.157	141.157	141.159	141.091	141.189	141.190	141.155	141.231	141.157	141.194	141.057	141.155	141.166	141.154	141.196	141.154	111.540	111.577	111.547	111.570	111.590	111.584	111.543	111.568	111.541	111.544	111.529	111.560	111.544	111.569	111.541	111.516	111.541	111.541	111.528	111.525	111.537	111.524	111.529	111.518	111.553	111.499	111.507	111.529	111.504	111.542	111.523	111.542	2016_7_16_9_25_02
FLQS30DLGRXL____	-55.733	-55.798	-55.664	-55.763	-55.804	-55.804	-55.695	-55.731	-55.698	-55.692	-55.662	-55.757	-55.693	-55.765	-55.698	-55.629	-55.698	-55.698	-55.662	-55.624	-55.695	-55.663	-55.662	-55.661	-55.723	-55.589	-55.563	-55.662	-55.595	-55.696	-55.657	-55.696	141.196	141.231	141.082	141.165	141.121	141.204	141.155	141.120	141.227	141.152	141.220	141.227	141.195	141.161	141.227	141.227	141.227	141.227	141.230	141.122	141.253	141.254	141.220	141.291	141.193	141.232	141.126	141.220	141.237	141.213	141.236	141.213	111.427	111.445	111.418	111.441	111.462	111.450	111.419	111.437	111.410	111.418	111.399	111.431	111.413	111.443	111.410	111.386	111.410	111.410	111.397	111.399	111.406	111.394	111.399	111.388	111.424	111.371	111.377	111.399	111.373	111.411	111.395	111.411	2016_7_16_9_25_04
FLQS30GVGRX8____	-55.657	-55.762	-55.585	-55.690	-55.727	-55.758	-55.618	-55.656	-55.659	-55.658	-55.622	-55.729	-55.660	-55.690	-55.659	-55.589	-55.659	-55.659	-55.627	-55.588	-55.618	-55.625	-55.622	-55.623	-55.692	-55.556	-55.480	-55.622	-55.549	-55.617	-55.623	-55.617	141.138	141.173	141.029	141.101	141.059	141.099	141.134	141.058	141.171	141.136	141.169	141.207	141.173	141.136	141.171	141.144	141.171	141.171	141.174	141.104	141.201	141.206	141.169	141.269	141.172	141.211	141.063	141.169	141.138	141.165	141.205	141.165	111.412	111.444	111.402	111.429	111.448	111.453	111.399	111.423	111.408	111.413	111.396	111.428	111.408	111.424	111.408	111.387	111.408	111.408	111.397	111.393	111.390	111.392	111.396	111.382	111.420	111.367	111.361	111.396	111.374	111.394	111.391	111.394	2016_7_16_9_25_07
FLQS30KBGRX8____	-55.490	-55.595	-55.459	-55.553	-55.598	-55.597	-55.488	-55.531	-55.486	-55.487	-55.448	-55.554	-55.487	-55.558	-55.486	-55.457	-55.486	-55.486	-55.492	-55.422	-55.487	-55.449	-55.448	-55.454	-55.520	-55.384	-55.354	-55.448	-55.380	-55.493	-55.451	-55.493	141.233	141.273	141.128	141.167	141.164	141.198	141.224	141.162	141.235	141.200	141.235	141.270	141.236	141.234	141.235	141.239	141.235	141.235	141.239	141.199	141.268	141.272	141.235	141.368	141.236	141.274	141.172	141.235	141.241	141.257	141.275	141.257	111.460	111.491	111.464	111.491	111.508	111.502	111.461	111.484	111.459	111.464	111.445	111.477	111.458	111.484	111.459	111.448	111.459	111.459	111.460	111.441	111.454	111.440	111.445	111.429	111.470	111.417	111.421	111.445	111.420	111.458	111.441	111.458	2016_7_16_9_25_10
FLQS30LUGRXL	-55.540	-55.647	-55.549	-55.602	-55.647	-55.646	-55.528	-55.560	-55.541	-55.545	-55.502	-55.610	-55.544	-55.607	-55.541	-55.472	-55.541	-55.541	-55.507	-55.474	-55.539	-55.507	-55.502	-55.509	-55.576	-55.441	-55.411	-55.502	-55.437	-55.542	-55.501	-55.542	141.188	141.226	141.081	141.163	141.118	141.147	141.188	141.079	141.224	141.182	141.217	141.257	141.225	141.236	141.224	141.223	141.224	141.224	141.227	141.150	141.248	141.253	141.217	141.330	141.224	141.269	141.116	141.217	141.190	141.254	141.233	141.254	111.342	111.374	111.360	111.367	111.389	111.385	111.337	111.364	111.337	111.344	111.324	111.357	111.338	111.359	111.337	111.313	111.337	111.337	111.325	111.324	111.333	111.321	111.324	111.311	111.350	111.296	111.306	111.324	111.305	111.333	111.322	111.333	2016_7_16_9_25_12
FLQS31B0GRX2____	-55.423	-55.527	-55.392	-55.489	-55.517	-55.533	-55.413	-55.461	-55.420	-55.460	-55.422	-55.490	-55.510	-55.529	-55.420	-55.349	-55.420	-55.420	-55.385	-55.348	-55.461	-55.386	-55.422	-55.426	-55.455	-55.316	-55.282	-55.422	-55.305	-55.425	-55.382	-55.425	141.237	141.235	141.130	141.173	141.131	141.201	141.206	141.167	141.241	141.209	141.245	141.273	141.253	141.209	141.241	141.242	141.241	141.241	141.241	141.170	141.275	141.271	141.245	141.313	141.241	141.280	141.135	141.245	141.214	141.264	141.238	141.264	111.311	111.348	111.315	111.343	111.359	111.355	111.312	111.335	111.310	111.328	111.310	111.330	111.340	111.352	111.310	111.285	111.310	111.310	111.297	111.294	111.319	111.294	111.310	111.302	111.322	111.268	111.276	111.310	111.273	111.308	111.297	111.308	2016_7_16_9_25_15
FLQS31B2GRWM____	-55.630	-55.735	-55.590	-55.699	-55.735	-55.732	-55.587	-55.660	-55.631	-55.632	-55.593	-55.698	-55.630	-55.693	-55.631	-55.559	-55.631	-55.631	-55.594	-55.556	-55.588	-55.595	-55.593	-55.594	-55.665	-55.524	-55.491	-55.593	-55.510	-55.587	-55.587	-55.587	141.119	141.153	140.985	141.088	141.048	141.082	141.119	141.019	141.156	141.118	141.152	141.158	141.158	141.123	141.156	141.157	141.156	141.156	141.159	141.058	141.183	141.186	141.152	141.228	141.155	141.197	141.053	141.152	141.090	141.145	141.121	141.145	111.458	111.490	111.463	111.486	111.505	111.499	111.443	111.482	111.453	111.459	111.441	111.477	111.453	111.480	111.453	111.428	111.453	111.453	111.440	111.440	111.434	111.437	111.441	111.430	111.466	111.410	111.418	111.441	111.420	111.439	111.443	111.439	2016_7_16_9_25_19
FLQS31K2GRWM____	-55.749	-55.856	-55.711	-55.819	-55.856	-55.851	-55.744	-55.745	-55.750	-55.748	-55.714	-55.817	-55.751	-55.815	-55.750	-55.678	-55.750	-55.750	-55.716	-55.679	-55.702	-55.716	-55.714	-55.715	-55.785	-55.645	-55.609	-55.714	-55.640	-55.745	-55.714	-55.745	141.121	141.154	140.986	141.086	141.047	141.085	141.122	141.043	141.156	141.086	141.154	141.159	141.158	141.121	141.156	141.159	141.156	141.156	141.157	141.088	141.187	141.188	141.154	141.256	141.157	141.192	141.054	141.154	141.124	141.155	141.153	141.155	111.520	111.553	111.525	111.549	111.568	111.561	111.518	111.529	111.515	111.524	111.503	111.538	111.515	111.543	111.515	111.490	111.515	111.515	111.503	111.500	111.494	111.499	111.503	111.489	111.527	111.473	111.480	111.503	111.481	111.514	111.503	111.514	2016_7_16_9_25_21
FLQS31QAGRX2____	-54.916	-55.020	-54.970	-54.981	-55.022	-55.017	-54.905	-54.947	-54.914	-54.918	-54.878	-54.982	-54.999	-54.977	-54.914	-54.846	-54.914	-54.914	-54.962	-54.848	-54.908	-54.880	-54.878	-54.880	-54.949	-54.808	-54.780	-54.878	-54.802	-54.915	-54.874	-54.915	141.392	141.427	141.264	141.367	141.320	141.355	141.395	141.322	141.431	141.391	141.428	141.465	141.441	141.400	141.431	141.428	141.431	141.431	141.411	141.353	141.458	141.462	141.428	141.529	141.431	141.436	141.370	141.428	141.402	141.457	141.435	141.457	111.158	111.190	111.194	111.184	111.205	111.198	111.153	111.178	111.152	111.159	111.139	111.171	111.180	111.178	111.152	111.128	111.152	111.152	111.171	111.139	111.146	111.135	111.139	111.126	111.164	111.114	111.113	111.139	111.116	111.148	111.137	111.148	2016_7_16_9_25_24
FLQS32CMGRWM____	-55.536	-55.643	-55.502	-55.606	-55.651	-55.648	-55.540	-55.568	-55.542	-55.545	-55.501	-55.606	-55.542	-55.611	-55.542	-55.473	-55.542	-55.542	-55.507	-55.474	-55.541	-55.503	-55.501	-55.508	-55.572	-55.434	-55.399	-55.501	-55.434	-55.530	-55.499	-55.530	141.211	141.244	141.107	141.177	141.169	141.206	141.235	141.142	141.275	141.238	141.243	141.279	141.276	141.241	141.275	141.276	141.275	141.275	141.275	141.205	141.305	141.277	141.243	141.378	141.248	141.281	141.141	141.243	141.245	141.242	141.245	141.242	111.442	111.475	111.445	111.471	111.488	111.482	111.440	111.463	111.435	111.442	111.425	111.457	111.435	111.464	111.435	111.411	111.435	111.435	111.423	111.421	111.431	111.421	111.425	111.409	111.449	111.397	111.403	111.425	111.402	111.435	111.424	111.435	2016_7_16_9_25_27
FLQS300WGRX8____	-55.553	-55.658	-55.521	-55.622	-55.643	-55.660	-55.547	-55.589	-55.554	-55.557	-55.516	-55.658	-55.593	-55.617	-55.554	-55.524	-55.554	-55.554	-55.558	-55.484	-55.550	-55.512	-55.516	-55.517	-55.576	-55.449	-55.418	-55.516	-55.441	-55.552	-55.513	-55.552	141.181	141.218	141.074	141.152	141.077	141.189	141.151	141.110	141.218	141.179	141.216	141.225	141.225	141.186	141.218	141.198	141.218	141.218	141.224	141.145	141.247	141.221	141.216	141.318	141.187	141.256	141.113	141.216	141.230	141.209	141.220	141.209	111.355	111.386	111.358	111.383	111.401	111.391	111.357	111.377	111.350	111.356	111.337	111.386	111.363	111.377	111.350	111.342	111.350	111.350	111.351	111.336	111.345	111.335	111.337	111.323	111.362	111.308	111.317	111.337	111.309	111.350	111.335	111.350	2016_7_16_9_25_30
FLQS302CGRX8____	-55.429	-55.535	-55.397	-55.498	-55.543	-55.533	-55.426	-55.466	-55.430	-55.434	-55.394	-55.499	-55.468	-55.495	-55.430	-55.359	-55.430	-55.430	-55.394	-55.361	-55.428	-55.434	-55.394	-55.434	-55.466	-55.324	-55.291	-55.394	-55.319	-55.429	-55.390	-55.429	141.242	141.279	141.138	141.214	141.218	141.209	141.243	141.175	141.280	141.240	141.278	141.314	141.256	141.249	141.280	141.281	141.280	141.280	141.281	141.210	141.307	141.315	141.278	141.353	141.279	141.320	141.178	141.278	141.297	141.272	141.287	141.272	111.458	111.490	111.461	111.486	111.501	111.499	111.456	111.480	111.453	111.460	111.440	111.472	111.469	111.480	111.453	111.428	111.453	111.453	111.440	111.438	111.448	111.449	111.440	111.444	111.465	111.410	111.418	111.440	111.411	111.453	111.438	111.453	2016_7_16_9_25_33
FLQS304AGRX8____	-55.635	-55.735	-55.603	-55.660	-55.730	-55.704	-55.620	-55.673	-55.628	-55.630	-55.594	-55.703	-55.637	-55.704	-55.628	-55.566	-55.628	-55.628	-55.600	-55.562	-55.634	-55.598	-55.594	-55.599	-55.662	-55.526	-55.499	-55.594	-55.527	-55.636	-55.596	-55.636	141.226	141.225	141.120	141.198	141.120	141.187	141.195	141.158	141.231	141.191	141.226	141.297	141.266	141.271	141.231	141.261	141.231	141.231	141.264	141.162	141.287	141.260	141.226	141.329	141.229	141.269	141.164	141.226	141.277	141.250	141.270	141.250	111.713	111.749	111.717	111.726	111.762	111.743	111.713	111.737	111.711	111.717	111.699	111.728	111.709	111.732	111.711	111.685	111.711	111.711	111.696	111.697	111.705	111.696	111.699	111.687	111.723	111.669	111.675	111.699	111.669	111.711	111.694	111.711	2016_7_16_9_25_36
FLQS304UGRX2____	-55.949	-56.053	-55.921	-56.015	-56.058	-56.043	-55.947	-55.986	-55.951	-55.954	-55.912	-56.017	-55.951	-56.015	-55.951	-55.882	-55.951	-55.951	-55.916	-55.879	-55.950	-55.911	-55.912	-55.914	-55.982	-55.846	-55.815	-55.912	-55.840	-55.952	-55.913	-55.952	141.062	141.098	140.988	141.029	141.026	141.027	141.088	141.030	141.131	141.091	141.126	141.130	141.136	141.097	141.131	141.129	141.131	141.131	141.130	141.027	141.155	141.164	141.126	141.196	141.100	141.135	141.033	141.126	141.065	141.120	141.131	141.120	111.568	111.600	111.568	111.596	111.611	111.606	111.564	111.585	111.559	111.566	111.546	111.582	111.558	111.586	111.559	111.535	111.559	111.559	111.547	111.548	111.556	111.541	111.546	111.537	111.574	111.522	111.525	111.546	111.529	111.561	111.546	111.561	2016_7_16_9_25_40
FLQS3023GRX8____	-54.926	-55.030	-54.892	-54.991	-55.028	-54.991	-54.915	-54.956	-54.922	-54.924	-54.886	-54.991	-54.926	-54.985	-54.922	-54.857	-54.922	-54.922	-54.891	-54.860	-54.917	-54.889	-54.886	-54.889	-54.957	-54.823	-54.791	-54.886	-54.811	-54.919	-54.884	-54.919	141.453	141.490	141.346	141.466	141.384	141.459	141.455	141.385	141.492	141.454	141.488	141.525	141.491	141.457	141.492	141.489	141.492	141.492	141.490	141.455	141.521	141.522	141.488	141.592	141.491	141.529	141.385	141.488	141.504	141.485	141.494	141.485	111.291	111.323	111.294	111.312	111.336	111.313	111.287	111.311	111.284	111.290	111.272	111.304	111.286	111.311	111.284	111.262	111.284	111.284	111.274	111.267	111.278	111.269	111.272	111.259	111.297	111.244	111.253	111.272	111.243	111.284	111.271	111.284	2016_7_16_9_25_48
FLQS3075GRX8____	-55.774	-55.877	-55.778	-55.840	-55.922	-55.875	-55.772	-55.806	-55.811	-55.810	-55.772	-55.880	-55.814	-55.843	-55.811	-55.742	-55.811	-55.811	-55.779	-55.742	-55.766	-55.775	-55.772	-55.775	-55.848	-55.667	-55.634	-55.772	-55.658	-55.765	-55.772	-55.765	141.123	141.158	141.021	141.096	141.095	141.093	141.157	141.058	141.170	141.136	141.174	141.203	141.164	141.162	141.170	141.167	141.170	141.170	141.166	141.095	141.204	141.208	141.174	141.266	141.197	141.230	141.050	141.174	141.172	141.167	141.170	141.167	111.477	111.508	111.492	111.504	111.533	111.517	111.472	111.497	111.484	111.488	111.469	111.503	111.485	111.496	111.484	111.460	111.484	111.484	111.473	111.470	111.463	111.466	111.469	111.458	111.493	111.425	111.438	111.469	111.430	111.468	111.470	111.468	2016_7_16_9_25_51
FLQS3089GRXL____	-55.635	-55.742	-55.601	-55.711	-55.751	-55.751	-55.636	-55.667	-55.639	-55.639	-55.601	-55.707	-55.682	-55.707	-55.639	-55.611	-55.639	-55.639	-55.647	-55.570	-55.635	-55.605	-55.601	-55.642	-55.673	-55.532	-55.496	-55.601	-55.536	-55.645	-55.601	-55.645	141.208	141.242	141.105	141.206	141.169	141.204	141.204	141.135	141.242	141.205	141.240	141.276	141.249	141.209	141.242	141.253	141.242	141.242	141.250	141.206	141.272	141.305	141.240	141.315	141.243	141.280	141.141	141.240	141.242	141.266	141.241	141.266	111.469	111.501	111.471	111.495	111.515	111.510	111.469	111.490	111.465	111.470	111.452	111.484	111.479	111.494	111.465	111.454	111.465	111.465	111.467	111.446	111.460	111.444	111.452	111.456	111.477	111.422	111.429	111.452	111.429	111.464	111.452	111.464	2016_7_16_9_25_53
