SN	Distance_X_LOGO_NFC_Down1	Distance_X_LOGO_NFC_Down2	Distance_X_LOGO_NFC_Down3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_NFC_Down1	Distance_Y_LOGO_NFC_Down2	Distance_Y_LOGO_NFC_Down3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_NFC_Down1	Angle_NFC_Down2	Angle_NFC_Down3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Average_X	Average_Y	Average_Angle	Date_time
FLNS202VGRWV____	0.067	0.069	0.072	0.069	0.068	0.069	0.069	0.069	0.064	0.068	0.072	0.068	0.070	0.069	0.069	0.069	0.069	0.068	0.066	0.067	0.068	0.070	0.069	0.067	0.066	0.071	0.069	0.068	0.069	0.069	0.065	0.063	0.038	0.041	0.088	0.041	0.078	0.086	0.038	0.081	0.041	0.041	0.084	0.082	0.082	0.043	0.082	0.044	0.044	0.084	0.042	0.044	0.078	0.081	0.079	0.086	0.042	0.079	0.082	0.078	0.081	0.043	0.040	0.080	-0.256	-0.258	-0.266	-0.258	-0.264	-0.265	-0.258	-0.264	-0.257	-0.257	-0.266	-0.264	-0.265	-0.258	-0.264	-0.258	-0.258	-0.265	-0.257	-0.258	-0.264	-0.265	-0.264	-0.265	-0.257	-0.265	-0.265	-0.264	-0.265	-0.259	-0.256	-0.263	0.068	0.064	-0.261	2016_7_13_9_51_15
FLNS2009GRWF____	0.174	0.153	0.173	0.153	0.115	0.173	0.203	0.149	0.176	0.174	0.173	0.173	0.178	0.201	0.179	0.176	0.176	0.178	0.178	0.174	0.176	0.174	0.177	0.174	0.176	0.174	0.177	0.203	0.177	0.174	0.177	0.178	-0.030	-0.087	-0.090	-0.087	-0.038	-0.038	-0.035	-0.042	-0.082	-0.083	-0.037	-0.083	-0.001	-0.032	0.005	0.005	0.005	-0.030	-0.079	-0.080	-0.029	0.018	0.003	-0.033	-0.043	-0.037	0.004	-0.036	0.013	-0.033	-0.083	-0.037	0.266	0.282	0.276	0.282	0.287	0.267	0.257	0.276	0.273	0.275	0.267	0.275	0.259	0.257	0.258	0.260	0.260	0.265	0.273	0.274	0.265	0.258	0.260	0.266	0.267	0.267	0.259	0.257	0.258	0.266	0.274	0.266	0.174	-0.039	0.267	2016_7_13_9_51_19
FLQS2C39GRX5____	0.196	0.213	0.185	0.213	0.217	0.214	0.204	0.189	0.216	0.219	0.186	0.220	0.188	0.216	0.185	0.188	0.188	0.215	0.181	0.188	0.266	0.219	0.182	0.183	0.188	0.188	0.188	0.216	0.186	0.219	0.183	0.211	0.100	0.085	0.030	0.085	0.082	0.083	0.147	0.078	0.083	0.082	0.038	0.083	0.038	0.045	0.032	0.082	0.082	0.084	0.076	0.038	0.033	0.077	0.032	0.043	0.082	0.042	0.041	0.080	0.038	0.083	0.081	0.084	-0.250	-0.253	-0.235	-0.253	-0.254	-0.253	-0.261	-0.244	-0.254	-0.254	-0.237	-0.256	-0.237	-0.248	-0.235	-0.244	-0.244	-0.254	-0.241	-0.237	-0.263	-0.254	-0.234	-0.237	-0.244	-0.238	-0.238	-0.254	-0.236	-0.255	-0.242	-0.252	0.202	0.068	-0.247	2016_7_13_9_51_23
FLQS2C44GRX5____	0.499	0.494	0.426	0.494	0.434	0.470	0.426	0.460	0.472	0.459	0.460	0.499	0.456	0.455	0.462	0.458	0.458	0.497	0.468	0.458	0.499	0.470	0.461	0.462	0.461	0.497	0.430	0.426	0.461	0.428	0.497	0.497	0.081	0.039	0.019	0.039	0.025	0.030	0.025	0.072	0.115	0.029	0.068	0.037	0.067	0.077	0.071	0.026	0.026	0.037	0.075	0.146	0.078	0.073	0.070	0.075	0.078	0.076	0.061	0.021	0.071	0.086	0.078	0.078	-0.372	-0.363	-0.338	-0.363	-0.340	-0.354	-0.339	-0.357	-0.368	-0.350	-0.357	-0.365	-0.356	-0.357	-0.358	-0.350	-0.350	-0.364	-0.361	-0.369	-0.371	-0.361	-0.357	-0.359	-0.359	-0.371	-0.345	-0.338	-0.357	-0.348	-0.371	-0.371	0.465	0.061	-0.357	2016_7_13_9_51_26
FLQS2CBBGRX5____	0.136	0.141	0.147	0.141	0.125	0.110	0.111	0.143	0.100	0.135	0.112	0.143	0.075	0.116	0.114	0.134	0.134	0.143	0.095	0.138	0.099	0.146	0.132	0.130	0.072	0.142	0.143	0.143	0.140	0.079	0.094	0.104	-0.055	0.016	0.024	0.016	-0.076	0.010	-0.081	0.013	0.012	-0.032	0.013	0.009	0.022	-0.038	-0.037	-0.037	-0.037	-0.063	-0.042	0.014	-0.041	0.003	-0.033	0.014	-0.018	0.043	0.009	0.014	0.014	0.015	-0.038	0.006	-0.240	-0.254	-0.257	-0.254	-0.233	-0.242	-0.228	-0.254	-0.239	-0.244	-0.244	-0.253	-0.232	-0.236	-0.236	-0.243	-0.243	-0.241	-0.229	-0.252	-0.230	-0.253	-0.243	-0.250	-0.225	-0.258	-0.253	-0.254	-0.253	-0.232	-0.229	-0.239	0.122	-0.011	-0.243	2016_7_13_9_51_30
FLQS23VUGRX2____	-0.351	-0.354	-0.346	-0.354	-0.349	-0.349	-0.353	-0.351	-0.351	-0.348	-0.348	-0.350	-0.351	-0.351	-0.352	-0.350	-0.350	-0.351	-0.350	-0.350	-0.353	-0.352	-0.349	-0.349	-0.353	-0.348	-0.383	-0.353	-0.351	-0.352	-0.350	-0.354	-0.116	-0.109	-0.058	-0.109	-0.111	-0.107	-0.152	-0.148	-0.107	-0.106	-0.105	-0.104	-0.109	-0.156	-0.106	-0.105	-0.105	-0.071	-0.111	-0.064	-0.116	-0.070	-0.103	-0.111	-0.148	-0.110	-0.111	-0.109	-0.080	-0.070	-0.109	-0.112	-0.041	-0.041	-0.052	-0.041	-0.043	-0.043	-0.034	-0.036	-0.043	-0.044	-0.043	-0.043	-0.042	-0.035	-0.043	-0.043	-0.043	-0.048	-0.041	-0.050	-0.040	-0.049	-0.043	-0.042	-0.035	-0.043	-0.031	-0.041	-0.047	-0.048	-0.043	-0.041	-0.352	-0.106	-0.042	2016_7_13_9_51_33
FLQS30BLGRWY____	0.239	0.225	0.229	0.225	0.240	0.240	0.227	0.232	0.241	0.231	0.232	0.228	0.224	0.228	0.227	0.226	0.226	0.235	0.289	0.230	0.238	0.218	0.232	0.239	0.232	0.233	0.232	0.226	0.233	0.225	0.240	0.240	-0.096	-0.086	-0.163	-0.086	-0.098	-0.097	-0.094	-0.083	-0.137	-0.085	-0.094	-0.197	-0.091	-0.090	-0.092	-0.101	-0.101	-0.090	-0.142	-0.085	-0.094	-0.082	-0.096	-0.096	-0.087	-0.089	-0.091	-0.140	-0.093	-0.090	-0.099	-0.092	0.243	0.245	0.257	0.245	0.243	0.243	0.247	0.242	0.248	0.243	0.245	0.262	0.247	0.245	0.245	0.248	0.248	0.242	0.233	0.244	0.242	0.247	0.245	0.242	0.243	0.244	0.244	0.254	0.244	0.246	0.242	0.241	0.233	-0.102	0.245	2016_7_13_9_51_35
FLQS30DEGRWY____	0.133	0.129	0.130	0.129	0.133	0.134	0.129	0.131	0.106	0.131	0.132	0.132	0.130	0.130	0.129	0.130	0.130	0.122	0.131	0.120	0.105	0.128	0.129	0.132	0.129	0.133	0.133	0.130	0.131	0.126	0.136	0.132	-0.064	0.008	-0.057	0.008	0.010	0.011	-0.060	-0.062	0.002	0.009	0.009	0.006	-0.060	0.006	0.008	0.009	0.009	-0.063	0.002	-0.066	0.001	-0.063	-0.060	0.005	0.008	0.008	-0.061	-0.061	0.001	0.009	0.004	0.002	0.027	0.016	0.028	0.016	0.016	0.015	0.028	0.028	0.025	0.016	0.016	0.016	0.027	0.017	0.016	0.017	0.017	0.031	0.018	0.031	0.026	0.029	0.028	0.016	0.017	0.016	0.027	0.028	0.017	0.017	0.015	0.017	0.129	-0.017	0.021	2016_7_13_9_51_37
FLQS30LQGRWY____	0.084	0.089	0.081	0.089	0.083	0.120	0.077	0.084	0.140	0.085	0.135	0.135	0.081	0.113	0.082	0.112	0.112	0.108	0.093	0.088	0.083	0.082	0.075	0.085	0.135	0.085	0.081	0.079	0.082	0.135	0.121	0.084	0.001	-0.003	0.002	-0.003	-0.041	-0.001	0.025	0.004	-0.003	0.002	-0.003	-0.073	0.002	-0.040	-0.000	-0.002	-0.002	-0.002	0.049	-0.005	-0.002	-0.007	-0.050	0.003	-0.003	0.001	0.004	-0.005	-0.003	-0.073	-0.003	0.003	0.014	0.013	0.015	0.013	0.021	0.003	0.013	0.014	-0.003	0.014	-0.002	0.009	0.015	0.011	0.015	0.005	0.005	0.006	0.004	0.014	0.015	0.016	0.025	0.013	-0.002	0.013	0.015	0.017	0.015	0.009	0.003	0.014	0.097	-0.007	0.011	2016_7_13_9_51_42
FLQS30SPGRWY____	0.157	0.084	0.138	0.084	0.156	0.155	0.160	0.159	0.155	0.157	0.131	0.087	0.161	0.137	0.159	0.158	0.158	0.085	0.139	0.160	0.157	0.160	0.157	0.154	0.158	0.083	0.160	0.086	0.158	0.083	0.088	0.088	0.008	0.010	0.012	0.010	0.006	0.043	0.004	0.074	0.001	0.004	0.011	0.008	0.075	0.049	0.004	0.052	0.052	0.012	0.004	0.004	0.009	0.082	0.004	0.005	0.041	0.010	0.078	0.010	0.080	0.050	0.044	0.004	-0.011	0.013	-0.006	0.013	-0.010	-0.016	-0.011	-0.022	-0.009	-0.011	-0.003	0.012	-0.024	-0.012	-0.011	-0.018	-0.018	0.012	-0.004	-0.012	-0.012	-0.024	-0.010	-0.010	-0.017	0.013	-0.024	0.012	-0.024	0.007	0.006	0.013	0.135	0.027	-0.007	2016_7_13_9_51_45
FLQS30W7GRWY____	0.320	0.286	0.321	0.286	0.285	0.319	0.320	0.284	0.321	0.283	0.317	0.284	0.320	0.319	0.321	0.317	0.317	0.320	0.284	0.285	0.281	0.285	0.322	0.283	0.284	0.284	0.284	0.322	0.283	0.285	0.284	0.285	0.127	0.181	0.186	0.181	0.131	0.181	0.138	0.139	0.130	0.132	0.132	0.137	0.137	0.183	0.133	0.179	0.179	0.134	0.136	0.138	0.182	0.134	0.086	0.179	0.179	0.137	0.139	0.089	0.138	0.094	0.178	0.180	-0.012	-0.011	-0.023	-0.011	-0.001	-0.022	-0.015	-0.002	-0.013	-0.001	-0.013	-0.002	-0.015	-0.022	-0.014	-0.020	-0.020	-0.014	-0.002	-0.002	-0.009	-0.002	-0.006	-0.009	-0.009	-0.002	-0.002	-0.007	-0.002	0.005	-0.009	-0.009	0.300	0.148	-0.009	2016_7_13_9_51_49
FLQS300JGRWM____	0.652	0.677	0.720	0.677	0.653	0.702	0.695	0.696	0.702	0.702	0.682	0.652	0.699	0.680	0.698	0.718	0.718	0.670	0.680	0.719	0.652	0.710	0.697	0.679	0.680	0.680	0.702	0.678	0.702	0.702	0.654	0.666	0.312	0.322	0.411	0.322	0.318	0.336	0.333	0.388	0.336	0.336	0.316	0.317	0.394	0.323	0.391	0.410	0.410	0.384	0.326	0.402	0.314	0.396	0.392	0.321	0.329	0.315	0.406	0.318	0.336	0.406	0.327	0.395	-0.085	-0.096	-0.125	-0.096	-0.087	-0.106	-0.103	-0.112	-0.106	-0.106	-0.097	-0.086	-0.114	-0.097	-0.114	-0.124	-0.124	-0.103	-0.097	-0.122	-0.086	-0.118	-0.114	-0.096	-0.098	-0.095	-0.117	-0.096	-0.106	-0.117	-0.089	-0.103	0.687	0.354	-0.104	2016_7_13_9_51_54
FLQS303AGRWY____	0.128	0.123	0.124	0.123	0.128	0.124	0.124	0.125	0.126	0.126	0.126	0.127	0.126	0.124	0.124	0.125	0.125	0.125	0.126	0.126	0.127	0.129	0.127	0.125	0.125	0.126	0.127	0.123	0.129	0.128	0.130	0.126	0.078	0.078	0.085	0.078	0.085	0.083	0.128	0.081	0.084	0.081	0.120	0.083	0.086	0.121	0.085	0.086	0.086	0.075	0.082	0.082	0.112	0.073	0.084	0.082	0.085	0.122	0.083	0.084	0.074	0.078	0.087	0.085	0.071	0.072	0.071	0.072	0.070	0.071	0.064	0.071	0.070	0.070	0.064	0.070	0.070	0.065	0.070	0.070	0.070	0.072	0.071	0.071	0.065	0.071	0.070	0.071	0.070	0.064	0.069	0.072	0.071	0.070	0.069	0.070	0.126	0.088	0.070	2016_7_13_9_51_59
FLQS303SGRWY____	0.298	0.301	0.298	0.301	0.297	0.296	0.301	0.300	0.291	0.298	0.297	0.302	0.299	0.299	0.298	0.299	0.299	0.302	0.234	0.300	0.299	0.301	0.300	0.290	0.300	0.298	0.301	0.299	0.300	0.300	0.294	0.294	-0.075	-0.010	-0.044	-0.010	-0.076	-0.081	-0.013	-0.008	-0.086	0.062	-0.047	-0.009	-0.044	-0.118	-0.049	-0.004	-0.004	-0.005	-0.019	-0.010	-0.075	-0.004	-0.011	-0.089	-0.013	-0.075	-0.075	-0.045	-0.004	0.001	-0.015	-0.014	-0.132	-0.145	-0.138	-0.145	-0.133	-0.131	-0.144	-0.145	-0.129	-0.156	-0.137	-0.145	-0.138	-0.126	-0.138	-0.145	-0.145	-0.146	-0.120	-0.144	-0.133	-0.146	-0.144	-0.128	-0.144	-0.133	-0.134	-0.138	-0.145	-0.146	-0.142	-0.141	0.296	-0.033	-0.139	2016_7_13_9_52_02
FLQS304WGRWQ____	0.263	0.257	0.261	0.257	0.264	0.263	0.257	0.260	0.227	0.259	0.260	0.262	0.258	0.262	0.260	0.259	0.259	0.258	0.261	0.258	0.263	0.256	0.258	0.263	0.259	0.261	0.297	0.259	0.261	0.259	0.262	0.231	0.039	0.091	0.090	0.091	0.042	0.043	0.046	0.136	0.087	0.091	0.091	0.054	0.135	0.088	0.131	0.084	0.084	0.129	0.036	0.045	0.041	0.127	0.091	0.085	0.089	0.089	0.127	0.131	0.083	0.086	0.079	0.041	-0.218	-0.225	-0.226	-0.225	-0.220	-0.219	-0.218	-0.233	-0.214	-0.226	-0.226	-0.221	-0.232	-0.226	-0.232	-0.225	-0.225	-0.231	-0.217	-0.217	-0.219	-0.230	-0.225	-0.226	-0.225	-0.226	-0.244	-0.231	-0.225	-0.225	-0.225	-0.208	0.259	0.084	-0.225	2016_7_13_9_52_06
FLQS314MGRWY____	-0.464	-0.430	-0.431	-0.430	-0.464	-0.431	-0.429	-0.498	-0.430	-0.498	-0.496	-0.461	-0.461	-0.433	-0.497	-0.498	-0.463	-0.429	-0.433	-0.461	-0.463	-0.463	-0.497	-0.434	-0.497	-0.499	-0.465	-0.432	-0.432	-0.431	-0.466	-0.464	-0.077	-0.074	-0.070	-0.074	-0.078	-0.074	-0.032	-0.081	-0.074	-0.082	-0.039	-0.075	-0.073	-0.072	-0.078	-0.080	-0.076	-0.076	-0.080	-0.078	-0.079	-0.078	-0.080	-0.075	-0.078	-0.081	-0.114	-0.115	-0.115	-0.028	-0.075	-0.076	0.271	0.260	0.260	0.260	0.271	0.260	0.252	0.283	0.259	0.283	0.276	0.270	0.270	0.260	0.282	0.283	0.270	0.260	0.261	0.271	0.271	0.271	0.282	0.261	0.282	0.284	0.278	0.267	0.266	0.253	0.271	0.271	-0.459	-0.076	0.269	2016_7_13_9_52_10
FLQS2137GRWV____	0.479	0.463	0.463	0.463	0.480	0.477	0.469	0.533	0.463	0.474	0.533	0.474	0.463	0.533	0.472	0.533	0.533	0.470	0.478	0.533	0.533	0.533	0.469	0.533	0.533	0.533	0.533	0.467	0.533	0.533	0.531	0.463	0.287	0.289	0.280	0.289	0.295	0.293	0.291	0.210	0.280	0.219	0.350	0.296	0.280	0.280	0.289	0.210	0.210	0.210	0.288	0.210	0.210	0.210	0.217	0.280	0.210	0.280	0.210	0.211	0.210	0.280	0.276	0.280	-0.202	-0.197	-0.196	-0.197	-0.204	-0.203	-0.200	-0.208	-0.195	-0.189	-0.230	-0.202	-0.195	-0.219	-0.200	-0.207	-0.207	-0.186	-0.202	-0.207	-0.208	-0.208	-0.187	-0.219	-0.208	-0.219	-0.207	-0.186	-0.207	-0.219	-0.217	-0.195	0.499	0.257	-0.204	2016_7_13_9_52_14
FLQS2168GRWV____	0.274	0.281	0.277	0.281	0.274	0.274	0.279	0.278	0.276	0.276	0.276	0.277	0.280	0.274	0.279	0.274	0.274	0.278	0.278	0.281	0.274	0.278	0.277	0.272	0.276	0.273	0.280	0.279	0.276	0.280	0.274	0.273	0.005	0.038	-0.000	0.038	-0.000	0.000	-0.002	0.037	0.002	-0.001	0.001	0.036	0.035	-0.036	-0.002	0.004	0.004	0.042	0.004	0.037	-0.036	0.040	-0.000	-0.031	-0.042	-0.037	0.038	-0.001	0.003	0.040	-0.003	-0.040	-0.122	-0.130	-0.123	-0.130	-0.122	-0.122	-0.123	-0.129	-0.122	-0.122	-0.123	-0.128	-0.129	-0.116	-0.124	-0.123	-0.123	-0.130	-0.124	-0.129	-0.116	-0.130	-0.123	-0.116	-0.116	-0.116	-0.130	-0.123	-0.123	-0.131	-0.121	-0.115	0.277	0.005	-0.124	2016_7_13_9_52_19
FLQS2238GRWM____	0.480	0.473	0.477	0.473	0.479	0.485	0.473	0.476	0.476	0.475	0.481	0.475	0.475	0.475	0.474	0.474	0.474	0.474	0.477	0.474	0.478	0.473	0.477	0.478	0.475	0.478	0.478	0.475	0.476	0.471	0.481	0.477	0.164	0.159	0.242	0.159	0.237	0.118	0.239	0.238	0.236	0.237	0.159	0.205	0.240	0.237	0.240	0.242	0.242	0.232	0.156	0.237	0.234	0.238	0.240	0.236	0.239	0.238	0.236	0.239	0.228	0.172	0.161	0.235	-0.285	-0.282	-0.296	-0.282	-0.296	-0.279	-0.295	-0.295	-0.295	-0.295	-0.285	-0.290	-0.296	-0.295	-0.295	-0.296	-0.296	-0.293	-0.282	-0.295	-0.296	-0.294	-0.296	-0.295	-0.295	-0.296	-0.296	-0.295	-0.294	-0.283	-0.285	-0.296	0.476	0.216	-0.292	2016_7_13_9_52_26
FLQS3137GRWY____	0.264	0.254	0.257	0.254	0.264	0.262	0.256	0.259	0.262	0.260	0.258	0.259	0.258	0.257	0.255	0.256	0.256	0.255	0.261	0.257	0.264	0.254	0.255	0.263	0.257	0.259	0.258	0.253	0.260	0.227	0.262	0.264	0.131	0.086	0.133	0.086	0.132	0.088	0.129	0.094	0.130	0.131	0.129	0.091	0.131	0.095	0.086	0.086	0.086	0.090	0.086	0.089	0.127	0.093	0.087	0.092	0.093	0.130	0.090	0.083	0.091	0.082	0.085	0.085	-0.148	-0.138	-0.146	-0.138	-0.148	-0.140	-0.145	-0.140	-0.148	-0.146	-0.146	-0.140	-0.146	-0.140	-0.138	-0.138	-0.138	-0.138	-0.140	-0.139	-0.148	-0.139	-0.138	-0.141	-0.140	-0.146	-0.139	-0.136	-0.140	-0.127	-0.140	-0.140	0.258	0.101	-0.141	2016_7_13_9_52_30
