SN	Distance_X_LOGO_MainBoard_LD1	Distance_X_LOGO_MainBoard_LD2	Distance_X_LOGO_MainBoard_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_MainBoard_LD1	Distance_Y_LOGO_MainBoard_LD2	Distance_Y_LOGO_MainBoard_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_MainBoard_LD1	Angle_MainBoard_LD2	Angle_MainBoard_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-53.952	-53.916	-53.915	-53.989	-53.951	-53.985	-53.954	-53.986	-53.953	-53.988	-53.918	-53.954	-53.881	-53.814	-53.849	-53.918	-53.918	-53.884	-53.884	-53.885	-53.848	-53.885	-53.882	-53.884	-53.919	-53.885	-53.849	-53.882	-53.882	-53.918	-53.881	-53.921	-93.607	-93.640	-93.678	-93.753	-93.717	-93.641	-93.717	-93.753	-93.789	-93.715	-93.822	-93.823	-93.790	-93.857	-93.893	-93.822	-93.822	-93.855	-93.787	-93.821	-93.856	-93.821	-93.791	-93.819	-93.821	-93.821	-93.789	-93.787	-93.791	-93.822	-93.786	-93.787	240.244	240.269	240.279	240.265	240.273	240.237	240.272	240.267	240.291	240.256	240.316	240.300	240.325	240.373	240.367	240.316	240.316	240.340	240.322	240.331	240.357	240.331	240.324	240.331	240.315	240.331	240.339	240.324	240.324	240.316	240.323	240.305	2016_7_15_15_57_18
F2LS3EKPHFM2____	-53.665	-53.628	-53.626	-53.705	-53.660	-53.698	-53.666	-53.696	-53.667	-53.702	-53.629	-53.666	-53.595	-53.526	-53.560	-53.629	-53.629	-53.596	-53.595	-53.595	-53.559	-53.595	-53.594	-53.594	-53.628	-53.595	-53.562	-53.593	-53.594	-53.629	-53.592	-53.631	-93.568	-93.602	-93.637	-93.753	-93.675	-93.635	-93.673	-93.709	-93.787	-93.672	-93.780	-93.820	-93.746	-93.853	-93.853	-93.780	-93.780	-93.813	-93.786	-93.817	-93.813	-93.817	-93.790	-93.816	-93.813	-93.817	-93.788	-93.785	-93.790	-93.780	-93.781	-93.745	240.445	240.471	240.481	240.475	240.475	240.447	240.472	240.468	240.501	240.455	240.517	240.511	240.524	240.584	240.568	240.517	240.517	240.541	240.534	240.543	240.558	240.543	240.536	240.543	240.526	240.543	240.550	240.535	240.536	240.517	240.534	240.507	2016_7_15_15_57_21
F2LS3KLTHFM5____	-53.599	-53.561	-53.561	-53.634	-53.596	-53.593	-53.558	-53.631	-53.642	-53.633	-53.560	-53.596	-53.529	-53.459	-53.495	-53.560	-53.560	-53.529	-53.528	-53.527	-53.533	-53.527	-53.527	-53.569	-53.521	-53.527	-53.494	-53.525	-53.527	-53.560	-53.524	-53.563	-93.616	-93.656	-93.694	-93.766	-93.731	-93.693	-93.728	-93.766	-93.849	-93.727	-93.835	-93.836	-93.804	-93.868	-93.906	-93.835	-93.835	-93.866	-93.800	-93.831	-93.862	-93.831	-93.805	-93.829	-93.834	-93.831	-93.802	-93.803	-93.805	-93.835	-93.800	-93.799	240.523	240.550	240.560	240.546	240.554	240.545	240.571	240.547	240.564	240.536	240.598	240.582	240.604	240.653	240.646	240.598	240.598	240.620	240.603	240.612	240.617	240.612	240.605	240.592	240.616	240.612	240.620	240.606	240.605	240.598	240.605	240.587	2016_7_15_15_57_23
F2LS3SMLHFM5____	-53.738	-53.702	-53.700	-53.772	-53.731	-53.772	-53.739	-53.765	-53.735	-53.772	-53.698	-53.734	-53.665	-53.596	-53.630	-53.698	-53.698	-53.664	-53.667	-53.664	-53.677	-53.664	-53.665	-53.667	-53.698	-53.664	-53.674	-53.665	-53.665	-53.698	-53.663	-53.700	-93.694	-93.730	-93.809	-93.839	-93.802	-93.768	-93.850	-93.836	-93.873	-93.847	-93.906	-93.905	-93.830	-93.940	-93.975	-93.906	-93.906	-93.938	-93.874	-93.906	-93.942	-93.906	-93.876	-93.901	-93.904	-93.906	-93.874	-93.873	-93.876	-93.906	-93.870	-93.871	240.480	240.505	240.528	240.502	240.511	240.484	240.520	240.505	240.528	240.504	240.554	240.537	240.549	240.610	240.603	240.554	240.554	240.578	240.560	240.570	240.573	240.570	240.561	240.567	240.553	240.570	240.557	240.560	240.561	240.554	240.561	240.544	2016_7_15_15_57_26
F2LS38TUGRXL____	-54.005	-53.970	-53.971	-54.041	-54.007	-54.043	-54.005	-54.044	-54.005	-54.041	-53.969	-54.006	-53.939	-53.870	-53.904	-53.969	-53.969	-53.938	-53.936	-53.936	-53.901	-53.936	-53.935	-53.937	-53.970	-53.936	-53.902	-53.936	-53.935	-53.969	-53.934	-53.973	-93.689	-93.725	-93.762	-93.834	-93.797	-93.759	-93.795	-93.793	-93.868	-93.795	-93.900	-93.903	-93.869	-93.936	-93.971	-93.900	-93.900	-93.933	-93.865	-93.898	-93.932	-93.898	-93.871	-93.896	-93.900	-93.898	-93.867	-93.868	-93.871	-93.900	-93.867	-93.868	239.696	239.722	239.731	239.718	239.724	239.697	239.724	239.706	239.743	239.708	239.768	239.752	239.774	239.824	239.817	239.768	239.768	239.791	239.774	239.783	239.808	239.783	239.777	239.782	239.768	239.783	239.790	239.776	239.777	239.768	239.776	239.758	2016_7_15_15_57_29
F2LS3TKDHFM5____	-53.873	-53.836	-53.835	-53.909	-53.872	-53.913	-53.876	-53.908	-53.875	-53.870	-53.835	-53.871	-53.803	-53.695	-53.770	-53.835	-53.835	-53.806	-53.805	-53.803	-53.770	-53.803	-53.804	-53.762	-53.836	-53.803	-53.770	-53.801	-53.804	-53.835	-53.840	-53.839	-93.531	-93.567	-93.566	-93.644	-93.643	-93.609	-93.644	-93.678	-93.718	-93.641	-93.750	-93.751	-93.716	-93.784	-93.822	-93.750	-93.750	-93.782	-93.714	-93.747	-93.779	-93.747	-93.717	-93.744	-93.749	-93.747	-93.716	-93.714	-93.717	-93.750	-93.712	-93.713	240.276	240.303	240.303	240.290	240.307	240.279	240.305	240.299	240.325	240.307	240.352	240.336	240.357	240.425	240.401	240.352	240.352	240.374	240.356	240.366	240.389	240.366	240.357	240.384	240.351	240.366	240.372	240.358	240.357	240.352	240.339	240.340	2016_7_15_15_57_32
F2LS3MG9HFM5____	-54.003	-53.970	-53.969	-54.041	-54.005	-54.043	-54.006	-54.040	-54.007	-54.041	-53.970	-54.006	-53.937	-53.869	-53.903	-53.970	-53.970	-53.939	-53.937	-53.936	-53.902	-53.936	-53.936	-53.937	-53.970	-53.936	-53.903	-53.936	-53.936	-53.970	-53.934	-53.974	-93.610	-93.600	-93.636	-93.751	-93.713	-93.677	-93.714	-93.751	-93.785	-93.712	-93.820	-93.819	-93.785	-93.852	-93.889	-93.820	-93.820	-93.810	-93.785	-93.817	-93.848	-93.817	-93.787	-93.814	-93.817	-93.817	-93.785	-93.784	-93.787	-93.820	-93.781	-93.782	240.276	240.289	240.299	240.296	240.303	240.276	240.302	240.297	240.321	240.286	240.347	240.331	240.353	240.402	240.396	240.347	240.347	240.359	240.353	240.362	240.386	240.362	240.354	240.361	240.346	240.362	240.368	240.353	240.354	240.347	240.353	240.335	2016_7_15_15_57_34
F2LS3BDVGRXL____	-53.870	-53.829	-53.830	-53.862	-53.866	-53.902	-53.867	-53.901	-53.870	-53.861	-53.833	-53.868	-53.800	-53.729	-53.764	-53.833	-53.833	-53.799	-53.801	-53.798	-53.764	-53.798	-53.798	-53.797	-53.834	-53.798	-53.767	-53.795	-53.798	-53.833	-53.755	-53.836	-93.557	-93.592	-93.628	-93.700	-93.665	-93.630	-93.666	-93.698	-93.737	-93.664	-93.769	-93.771	-93.737	-93.806	-93.843	-93.769	-93.769	-93.804	-93.736	-93.769	-93.802	-93.769	-93.738	-93.760	-93.769	-93.769	-93.738	-93.736	-93.738	-93.769	-93.733	-93.736	240.423	240.451	240.460	240.464	240.453	240.427	240.453	240.446	240.470	240.455	240.496	240.480	240.502	240.553	240.547	240.496	240.496	240.520	240.502	240.512	240.536	240.512	240.504	240.510	240.495	240.512	240.518	240.504	240.504	240.496	240.522	240.486	2016_7_15_15_57_38
F2LS35BZHFM1____	-53.714	-53.675	-53.678	-53.748	-53.710	-53.709	-53.670	-53.745	-53.711	-53.706	-53.675	-53.712	-53.602	-53.573	-53.569	-53.675	-53.675	-53.603	-53.644	-53.642	-53.567	-53.642	-53.642	-53.642	-53.637	-53.642	-53.611	-53.642	-53.642	-53.675	-53.641	-53.680	-93.593	-93.628	-93.705	-93.774	-93.699	-93.664	-93.699	-93.734	-93.810	-93.699	-93.843	-93.845	-93.770	-93.841	-93.874	-93.843	-93.843	-93.837	-93.810	-93.841	-93.837	-93.841	-93.813	-93.839	-93.842	-93.841	-93.810	-93.812	-93.813	-93.843	-93.807	-93.811	239.945	239.972	239.991	239.977	239.974	239.966	239.992	239.967	240.003	239.976	240.029	240.012	240.043	240.075	240.085	240.029	240.029	240.060	240.034	240.043	240.076	240.043	240.036	240.043	240.045	240.043	240.049	240.035	240.036	240.029	240.035	240.018	2016_7_15_15_57_41
F2LS3HZVHFM5____	-53.302	-53.312	-53.269	-53.343	-53.305	-53.343	-53.306	-53.381	-53.347	-53.342	-53.271	-53.348	-53.235	-53.166	-53.201	-53.271	-53.271	-53.195	-53.276	-53.237	-53.202	-53.237	-53.277	-53.236	-53.271	-53.237	-53.200	-53.236	-53.277	-53.271	-53.236	-53.274	-93.708	-93.783	-93.817	-93.886	-93.853	-93.814	-93.851	-93.882	-93.923	-93.850	-93.957	-93.956	-93.886	-93.988	-93.989	-93.957	-93.957	-93.948	-93.923	-93.954	-93.987	-93.954	-93.924	-93.952	-93.959	-93.954	-93.922	-93.922	-93.924	-93.957	-93.919	-93.921	240.695	240.710	240.739	240.723	240.732	240.704	240.731	240.704	240.731	240.714	240.775	240.739	240.773	240.831	240.815	240.775	240.775	240.808	240.763	240.790	240.815	240.790	240.764	240.789	240.775	240.790	240.798	240.782	240.764	240.775	240.781	240.764	2016_7_15_15_57_44
F2LS339XHFM1____	-53.470	-53.435	-53.434	-53.506	-53.464	-53.507	-53.518	-53.502	-53.513	-53.503	-53.475	-53.512	-53.396	-53.326	-53.400	-53.475	-53.475	-53.439	-53.441	-53.438	-53.361	-53.438	-53.439	-53.397	-53.433	-53.438	-53.363	-53.397	-53.439	-53.475	-53.395	-53.435	-93.662	-93.695	-93.731	-93.799	-93.730	-93.732	-93.814	-93.799	-93.838	-93.729	-93.871	-93.872	-93.799	-93.903	-93.906	-93.871	-93.871	-93.903	-93.837	-93.870	-93.864	-93.870	-93.841	-93.865	-93.868	-93.870	-93.837	-93.839	-93.841	-93.871	-93.836	-93.837	240.516	240.541	240.551	240.536	240.537	240.517	240.534	240.537	240.543	240.518	240.569	240.552	240.586	240.646	240.612	240.569	240.569	240.594	240.576	240.586	240.620	240.586	240.577	240.603	240.587	240.586	240.611	240.596	240.577	240.569	240.596	240.578	2016_7_15_15_57_47
F2LS3HFRHFM5____	-53.516	-53.479	-53.477	-53.549	-53.513	-53.555	-53.515	-53.551	-53.516	-53.594	-53.480	-53.516	-53.448	-53.378	-53.412	-53.480	-53.480	-53.448	-53.445	-53.445	-53.411	-53.445	-53.445	-53.445	-53.480	-53.445	-53.411	-53.487	-53.445	-53.480	-53.484	-53.524	-93.755	-93.792	-93.826	-93.934	-93.860	-93.826	-93.861	-93.899	-93.935	-93.858	-93.965	-93.969	-93.931	-94.003	-94.036	-93.965	-93.965	-93.999	-93.931	-93.963	-93.997	-93.963	-93.936	-93.960	-93.966	-93.963	-93.933	-93.935	-93.936	-93.965	-93.931	-93.931	240.523	240.550	240.560	240.555	240.552	240.524	240.552	240.545	240.571	240.514	240.595	240.580	240.601	240.652	240.645	240.595	240.595	240.619	240.602	240.610	240.635	240.610	240.604	240.610	240.596	240.610	240.619	240.584	240.604	240.595	240.584	240.566	2016_7_15_15_57_50
F2LS3JESHFM5____	-53.588	-53.553	-53.553	-53.623	-53.588	-53.627	-53.589	-53.624	-53.589	-53.624	-53.553	-53.589	-53.520	-53.453	-53.486	-53.553	-53.553	-53.523	-53.521	-53.521	-53.484	-53.521	-53.521	-53.519	-53.552	-53.521	-53.485	-53.520	-53.521	-53.553	-53.518	-53.556	-93.551	-93.588	-93.624	-93.697	-93.661	-93.623	-93.660	-93.696	-93.731	-93.660	-93.765	-93.768	-93.732	-93.796	-93.833	-93.765	-93.765	-93.796	-93.730	-93.760	-93.794	-93.760	-93.731	-93.760	-93.801	-93.760	-93.731	-93.730	-93.731	-93.765	-93.729	-93.729	239.851	239.877	239.886	239.873	239.880	239.852	239.880	239.873	239.898	239.863	239.924	239.908	239.930	239.978	239.973	239.924	239.924	239.945	239.929	239.937	239.963	239.937	239.929	239.938	239.934	239.937	239.946	239.930	239.929	239.924	239.930	239.913	2016_7_15_15_57_53
F2LS3HFBHFM5____	-53.605	-53.567	-53.521	-53.643	-53.603	-53.644	-53.652	-53.634	-53.654	-53.642	-53.568	-53.604	-53.533	-53.462	-53.498	-53.568	-53.568	-53.534	-53.532	-53.532	-53.498	-53.532	-53.579	-53.530	-53.567	-53.532	-53.497	-53.531	-53.579	-53.568	-53.529	-53.567	-93.618	-93.652	-93.688	-93.766	-93.730	-93.693	-93.736	-93.762	-93.848	-93.728	-93.834	-93.835	-93.797	-93.867	-93.904	-93.834	-93.834	-93.865	-93.799	-93.832	-93.865	-93.832	-93.848	-93.831	-93.835	-93.832	-93.800	-93.800	-93.848	-93.834	-93.797	-93.799	239.875	239.902	239.932	239.897	239.906	239.877	239.885	239.900	239.913	239.887	239.949	239.933	239.956	240.007	240.000	239.949	239.949	239.973	239.956	239.965	239.990	239.965	239.948	239.966	239.950	239.965	239.973	239.957	239.948	239.949	239.957	239.940	2016_7_15_15_57_55
F2LS3A7AHFM2____	-53.593	-53.516	-53.561	-53.632	-53.594	-53.632	-53.595	-53.588	-53.596	-53.588	-53.559	-53.596	-53.565	-53.452	-53.448	-53.559	-53.559	-53.526	-53.524	-53.524	-53.487	-53.524	-53.523	-53.524	-53.560	-53.524	-53.447	-53.522	-53.523	-53.559	-53.522	-53.562	-93.737	-93.726	-93.761	-93.830	-93.798	-93.759	-93.794	-93.833	-93.867	-93.793	-93.898	-93.901	-93.905	-93.931	-93.967	-93.898	-93.898	-93.929	-93.863	-93.894	-93.931	-93.894	-93.866	-93.895	-93.899	-93.894	-93.864	-93.867	-93.866	-93.898	-93.865	-93.865	239.903	239.936	239.924	239.910	239.919	239.891	239.917	239.931	239.936	239.921	239.961	239.945	239.960	240.019	240.030	239.961	239.961	239.985	239.968	239.976	240.003	239.976	239.969	239.976	239.961	239.976	240.004	239.970	239.969	239.961	239.970	239.951	2016_7_15_15_57_58
F2LS3A8AGRXL____	-53.665	-53.629	-53.629	-53.704	-53.666	-53.706	-53.624	-53.701	-53.669	-53.702	-53.630	-53.668	-53.599	-53.528	-53.564	-53.630	-53.630	-53.601	-53.600	-53.598	-53.562	-53.598	-53.599	-53.598	-53.631	-53.598	-53.563	-53.595	-53.599	-53.630	-53.593	-53.634	-93.462	-93.498	-93.534	-93.610	-93.574	-93.536	-93.572	-93.610	-93.647	-93.572	-93.676	-93.679	-93.646	-93.711	-93.748	-93.676	-93.676	-93.710	-93.641	-93.674	-93.704	-93.674	-93.646	-93.671	-93.677	-93.674	-93.642	-93.645	-93.646	-93.676	-93.641	-93.643	240.355	240.381	240.390	240.376	240.384	240.356	240.403	240.377	240.401	240.367	240.427	240.410	240.434	240.483	240.477	240.427	240.427	240.450	240.432	240.442	240.466	240.442	240.434	240.441	240.427	240.442	240.449	240.435	240.434	240.427	240.435	240.417	2016_7_15_15_58_01
F2LS39Q6GRXL____	-53.701	-53.628	-53.627	-53.698	-53.663	-53.700	-53.663	-53.699	-53.663	-53.699	-53.628	-53.663	-53.595	-53.529	-53.561	-53.628	-53.628	-53.597	-53.631	-53.631	-53.561	-53.631	-53.596	-53.595	-53.628	-53.631	-53.563	-53.595	-53.596	-53.628	-53.593	-53.630	-93.682	-93.722	-93.758	-93.831	-93.794	-93.759	-93.793	-93.831	-93.866	-93.793	-93.902	-93.903	-93.867	-93.934	-93.970	-93.902	-93.902	-93.933	-93.865	-93.898	-93.932	-93.898	-93.868	-93.898	-93.900	-93.898	-93.867	-93.865	-93.868	-93.902	-93.865	-93.866	240.460	240.504	240.514	240.501	240.507	240.481	240.507	240.500	240.526	240.490	240.552	240.536	240.558	240.606	240.601	240.552	240.552	240.574	240.541	240.549	240.591	240.549	240.558	240.566	240.551	240.549	240.573	240.558	240.558	240.552	240.558	240.541	2016_7_15_15_58_03
F2LS38VQGRXL____	-53.675	-53.639	-53.639	-53.711	-53.674	-53.712	-53.674	-53.710	-53.678	-53.711	-53.641	-53.677	-53.610	-53.578	-53.574	-53.641	-53.641	-53.608	-53.608	-53.608	-53.573	-53.608	-53.607	-53.607	-53.639	-53.608	-53.574	-53.604	-53.607	-53.641	-53.604	-53.643	-93.490	-93.526	-93.561	-93.636	-93.597	-93.564	-93.598	-93.634	-93.673	-93.597	-93.702	-93.704	-93.669	-93.739	-93.775	-93.702	-93.702	-93.737	-93.668	-93.702	-93.734	-93.702	-93.674	-93.698	-93.701	-93.702	-93.671	-93.673	-93.674	-93.702	-93.667	-93.669	239.823	239.849	239.859	239.845	239.852	239.826	239.852	239.845	239.871	239.835	239.895	239.879	239.900	239.934	239.945	239.895	239.895	239.919	239.901	239.910	239.935	239.910	239.903	239.910	239.896	239.910	239.918	239.904	239.903	239.895	239.903	239.885	2016_7_15_15_58_06
F2LS30UNGRX8____	-53.375	-53.335	-53.339	-53.363	-53.371	-53.412	-53.374	-53.406	-53.374	-53.362	-53.337	-53.373	-53.305	-53.233	-53.224	-53.337	-53.337	-53.306	-53.302	-53.303	-53.269	-53.303	-53.301	-53.302	-53.336	-53.303	-53.268	-53.255	-53.301	-53.337	-53.255	-53.381	-93.566	-93.601	-93.638	-93.713	-93.678	-93.643	-93.676	-93.711	-93.747	-93.675	-93.782	-93.786	-93.747	-93.818	-93.850	-93.782	-93.782	-93.814	-93.748	-93.780	-93.813	-93.780	-93.751	-93.778	-93.781	-93.780	-93.751	-93.749	-93.751	-93.782	-93.742	-93.750	240.058	240.086	240.094	240.102	240.089	240.061	240.088	240.082	240.106	240.092	240.132	240.117	240.138	240.190	240.202	240.132	240.132	240.155	240.139	240.147	240.172	240.147	240.141	240.147	240.133	240.147	240.156	240.161	240.141	240.132	240.160	240.103	2016_7_15_15_58_09
F2LS3957GRXL____	-53.877	-53.843	-53.844	-53.913	-53.878	-53.913	-53.880	-53.911	-53.877	-53.913	-53.843	-53.879	-53.811	-53.743	-53.775	-53.843	-53.843	-53.810	-53.810	-53.809	-53.775	-53.809	-53.809	-53.810	-53.842	-53.809	-53.777	-53.808	-53.809	-53.843	-53.808	-53.845	-93.778	-93.812	-93.883	-93.956	-93.920	-93.851	-93.921	-93.918	-93.957	-93.918	-94.027	-94.026	-93.993	-94.027	-94.059	-94.027	-94.027	-94.059	-93.991	-94.025	-94.023	-94.025	-93.994	-94.020	-94.024	-94.025	-93.992	-93.992	-93.994	-94.027	-93.955	-93.989	240.351	240.375	240.394	240.381	240.388	240.354	240.387	240.372	240.398	240.371	240.432	240.415	240.438	240.478	240.472	240.432	240.432	240.456	240.438	240.447	240.462	240.447	240.439	240.445	240.432	240.447	240.453	240.439	240.439	240.432	240.429	240.421	2016_7_15_15_58_12
