SN	Distance_X_LOGO_Button_LD1	Distance_X_LOGO_Button_LD2	Distance_X_LOGO_Button_LD3	Distance_X_LOGO_4	Distance_X_LOGO_5	Distance_X_LOGO_6	Distance_X_LOGO_7	Distance_X_LOGO_8	Distance_X_LOGO_9	Distance_X_LOGO_10	Distance_X_LOGO_11	Distance_X_LOGO_12	Distance_X_LOGO_13	Distance_X_LOGO_14	Distance_X_LOGO_15	Distance_X_LOGO_16	Distance_X_LOGO_17	Distance_X_LOGO_18	Distance_X_LOGO_19	Distance_X_LOGO_20	Distance_X_LOGO_21	Distance_X_LOGO_22	Distance_X_LOGO_23	Distance_X_LOGO_24	Distance_X_LOGO_25	Distance_X_LOGO_26	Distance_X_LOGO_27	Distance_X_LOGO_28	Distance_X_LOGO_29	Distance_X_LOGO_30	Distance_X_LOGO_31	Distance_X_LOGO_32	Distance_Y_LOGO_Button_LD1	Distance_Y_LOGO_Button_LD2	Distance_Y_LOGO_Button_LD3	Distance_Y_LOGO_4	Distance_Y_LOGO_5	Distance_Y_LOGO_6	Distance_Y_LOGO_7	Distance_Y_LOGO_8	Distance_Y_LOGO_9	Distance_Y_LOGO_10	Distance_Y_LOGO_11	Distance_Y_LOGO_12	Distance_Y_LOGO_13	Distance_Y_LOGO_14	Distance_Y_LOGO_15	Distance_Y_LOGO_16	Distance_Y_LOGO_17	Distance_Y_LOGO_18	Distance_Y_LOGO_19	Distance_Y_LOGO_20	Distance_Y_LOGO_21	Distance_Y_LOGO_22	Distance_Y_LOGO_23	Distance_Y_LOGO_24	Distance_Y_LOGO_25	Distance_Y_LOGO_26	Distance_Y_LOGO_27	Distance_Y_LOGO_28	Distance_Y_LOGO_29	Distance_Y_LOGO_30	Distance_Y_LOGO_31	Distance_Y_LOGO_32	Angle_Button_LD1	Angle_Button_LD2	Angle_Button_LD3	Angle_4	Angle_5	Angle_6	Angle_7	Angle_8	Angle_9	Angle_10	Angle_11	Angle_12	Angle_13	Angle_14	Angle_15	Angle_16	Angle_17	Angle_18	Angle_19	Angle_20	Angle_21	Angle_22	Angle_23	Angle_24	Angle_25	Angle_26	Angle_27	Angle_28	Angle_29	Angle_30	Angle_31	Angle_32	Date_time
F2LS3HQHHFM5____	-29.666	-29.666	-29.629	-29.660	-29.661	-29.663	-29.617	-29.661	-29.617	-29.628	-29.678	-29.660	-29.736	-29.663	-29.663	-29.734	-29.699	-29.660	-29.616	-29.661	-29.584	-29.703	-29.698	-29.703	-29.662	-29.662	-29.653	-29.662	-29.621	-29.698	-29.705	-29.701	-142.542	-142.542	-142.538	-142.573	-142.580	-142.511	-142.508	-142.580	-142.508	-142.507	-142.477	-142.573	-142.442	-142.511	-142.511	-142.572	-142.574	-142.545	-142.472	-142.511	-142.539	-142.474	-142.546	-142.474	-142.479	-142.479	-142.451	-142.479	-142.401	-142.507	-142.442	-142.579	258.303	258.303	258.317	258.308	258.308	258.302	258.319	258.308	258.319	258.315	258.293	258.308	258.268	258.302	258.302	258.279	258.293	258.306	258.317	258.302	258.335	258.284	258.291	258.284	258.300	258.300	258.301	258.300	258.309	258.288	258.280	258.293	2016_7_15_15_37_47
F2LS3EKPHFM2____	-29.474	-29.474	-29.436	-29.468	-29.470	-29.472	-29.433	-29.470	-29.433	-29.439	-29.437	-29.468	-29.544	-29.472	-29.472	-29.543	-29.507	-29.469	-29.432	-29.472	-29.396	-29.510	-29.507	-29.510	-29.470	-29.470	-29.466	-29.470	-29.435	-29.504	-29.506	-29.508	-142.679	-142.679	-142.720	-142.749	-142.677	-142.641	-142.649	-142.677	-142.649	-142.645	-142.610	-142.749	-142.571	-142.641	-142.641	-142.751	-142.751	-142.718	-142.607	-142.680	-142.724	-142.644	-142.679	-142.644	-142.647	-142.647	-142.613	-142.647	-142.537	-142.684	-142.612	-142.714	258.416	258.416	258.434	258.424	258.417	258.414	258.429	258.417	258.429	258.427	258.425	258.424	258.380	258.414	258.414	258.395	258.409	258.421	258.426	258.417	258.449	258.399	258.403	258.399	258.415	258.415	258.414	258.415	258.419	258.405	258.398	258.406	2016_7_15_15_37_50
F2LS3KLTHFM5____	-29.463	-29.463	-29.426	-29.457	-29.459	-29.461	-29.412	-29.459	-29.412	-29.426	-29.424	-29.457	-29.538	-29.461	-29.461	-29.534	-29.497	-29.459	-29.411	-29.459	-29.378	-29.500	-29.496	-29.500	-29.460	-29.460	-29.448	-29.460	-29.425	-29.497	-29.501	-29.498	-142.735	-142.735	-142.733	-142.767	-142.734	-142.706	-142.700	-142.734	-142.700	-142.703	-142.675	-142.767	-142.635	-142.706	-142.706	-142.765	-142.767	-142.740	-142.668	-142.708	-142.735	-142.667	-142.741	-142.667	-142.677	-142.677	-142.643	-142.677	-142.560	-142.705	-142.635	-142.770	258.316	258.316	258.330	258.321	258.317	258.314	258.333	258.317	258.333	258.328	258.326	258.321	258.279	258.314	258.314	258.291	258.305	258.318	258.331	258.315	258.349	258.296	258.304	258.296	258.312	258.312	258.314	258.312	258.317	258.301	258.293	258.305	2016_7_15_15_37_53
F2LS3SMLHFM5____	-29.623	-29.623	-29.616	-29.617	-29.619	-29.620	-29.580	-29.619	-29.580	-29.585	-29.617	-29.617	-29.724	-29.620	-29.620	-29.724	-29.657	-29.618	-29.579	-29.619	-29.547	-29.689	-29.654	-29.689	-29.651	-29.651	-29.614	-29.651	-29.585	-29.654	-29.690	-29.659	-142.724	-142.724	-142.725	-142.757	-142.727	-142.691	-142.691	-142.727	-142.691	-142.691	-142.628	-142.757	-142.621	-142.691	-142.691	-142.753	-142.754	-142.693	-142.655	-142.693	-142.724	-142.657	-142.731	-142.657	-142.663	-142.663	-142.628	-142.663	-142.550	-142.694	-142.627	-142.760	258.259	258.259	258.261	258.264	258.260	258.257	258.273	258.260	258.273	258.271	258.253	258.264	258.212	258.257	258.257	258.222	258.248	258.258	258.270	258.258	258.288	258.228	258.247	258.228	258.243	258.243	258.254	258.243	258.259	258.244	258.225	258.248	2016_7_15_15_37_56
F2LS38TUGRXL____	-29.608	-29.608	-29.570	-29.604	-29.606	-29.609	-29.564	-29.606	-29.564	-29.575	-29.573	-29.604	-29.682	-29.609	-29.609	-29.678	-29.642	-29.606	-29.563	-29.611	-29.528	-29.644	-29.647	-29.644	-29.610	-29.610	-29.599	-29.610	-29.567	-29.645	-29.643	-29.645	-142.797	-142.797	-142.798	-142.826	-142.796	-142.761	-142.755	-142.796	-142.755	-142.762	-142.731	-142.826	-142.736	-142.761	-142.761	-142.829	-142.823	-142.793	-142.716	-142.721	-142.800	-142.728	-142.761	-142.728	-142.693	-142.693	-142.699	-142.693	-142.618	-142.766	-142.698	-142.830	258.383	258.383	258.397	258.387	258.383	258.380	258.397	258.383	258.397	258.393	258.391	258.387	258.349	258.380	258.380	258.358	258.372	258.383	258.394	258.376	258.414	258.364	258.365	258.364	258.374	258.374	258.379	258.374	258.384	258.366	258.361	258.371	2016_7_15_15_37_59
F2LS3TKDHFM5____	-29.871	-29.871	-29.796	-29.826	-29.922	-29.925	-29.826	-29.922	-29.826	-29.796	-29.798	-29.826	-29.944	-29.925	-29.925	-29.942	-29.904	-29.867	-29.826	-29.869	-29.794	-29.908	-29.905	-29.908	-29.870	-29.870	-29.863	-29.870	-29.838	-29.905	-29.911	-29.907	-142.659	-142.659	-142.659	-142.690	-142.701	-142.664	-142.622	-142.701	-142.622	-142.626	-142.598	-142.690	-142.556	-142.664	-142.664	-142.688	-142.690	-142.695	-142.587	-142.623	-142.659	-142.587	-142.666	-142.587	-142.596	-142.596	-142.563	-142.596	-142.484	-142.629	-142.559	-142.696	258.030	258.030	258.058	258.050	258.013	258.009	258.044	258.013	258.044	258.056	258.053	258.050	257.993	258.009	258.009	258.005	258.019	258.034	258.041	258.027	258.059	258.010	258.017	258.010	258.025	258.025	258.025	258.025	258.028	258.014	258.006	258.019	2016_7_15_15_38_02
F2LS3MG9HFM5____	-29.818	-29.818	-29.788	-29.822	-29.823	-29.822	-29.789	-29.823	-29.789	-29.787	-29.786	-29.822	-29.896	-29.822	-29.822	-29.889	-29.852	-29.822	-29.791	-29.823	-29.754	-29.895	-29.855	-29.895	-29.821	-29.821	-29.823	-29.821	-29.784	-29.858	-29.856	-29.857	-142.590	-142.590	-142.630	-142.622	-142.595	-142.559	-142.555	-142.595	-142.555	-142.555	-142.525	-142.622	-142.485	-142.559	-142.559	-142.622	-142.620	-142.590	-142.519	-142.558	-142.594	-142.520	-142.641	-142.520	-142.526	-142.526	-142.493	-142.526	-142.422	-142.562	-142.534	-142.628	258.092	258.092	258.106	258.093	258.090	258.088	258.100	258.090	258.100	258.101	258.099	258.093	258.053	258.088	258.088	258.067	258.081	258.090	258.097	258.087	258.117	258.056	258.081	258.056	258.085	258.085	258.082	258.085	258.091	258.074	258.073	258.080	2016_7_15_15_38_05
F2LS3BDVGRXL____	-29.879	-29.879	-29.839	-29.870	-29.873	-29.875	-29.831	-29.873	-29.831	-29.840	-29.840	-29.870	-29.955	-29.875	-29.875	-29.949	-29.910	-29.871	-29.829	-29.872	-29.801	-29.918	-29.910	-29.918	-29.874	-29.874	-29.866	-29.874	-29.841	-29.911	-29.914	-29.912	-142.600	-142.600	-142.595	-142.631	-142.603	-142.567	-142.569	-142.603	-142.569	-142.564	-142.541	-142.631	-142.502	-142.567	-142.567	-142.632	-142.633	-142.600	-142.537	-142.570	-142.600	-142.535	-142.614	-142.535	-142.542	-142.542	-142.513	-142.542	-142.429	-142.576	-142.547	-142.637	258.166	258.166	258.181	258.172	258.169	258.165	258.182	258.169	258.182	258.178	258.176	258.172	258.129	258.165	258.165	258.141	258.157	258.169	258.180	258.166	258.196	258.146	258.155	258.146	258.163	258.163	258.164	258.163	258.167	258.152	258.148	258.156	2016_7_15_15_38_09
F2LS35BZHFM1____	-29.503	-29.503	-29.468	-29.496	-29.499	-29.504	-29.501	-29.499	-29.501	-29.469	-29.468	-29.496	-29.582	-29.504	-29.504	-29.577	-29.539	-29.501	-29.456	-29.504	-29.423	-29.543	-29.538	-29.543	-29.504	-29.504	-29.496	-29.504	-29.474	-29.540	-29.550	-29.540	-142.685	-142.685	-142.684	-142.713	-142.683	-142.646	-142.772	-142.683	-142.772	-142.646	-142.618	-142.713	-142.579	-142.646	-142.646	-142.715	-142.750	-142.682	-142.602	-142.683	-142.686	-142.614	-142.687	-142.614	-142.618	-142.618	-142.616	-142.618	-142.540	-142.687	-142.580	-142.718	258.386	258.386	258.400	258.391	258.387	258.383	258.394	258.387	258.394	258.396	258.394	258.391	258.347	258.383	258.383	258.360	258.377	258.387	258.398	258.385	258.417	258.365	258.373	258.365	258.380	258.380	258.383	258.380	258.386	258.372	258.360	258.374	2016_7_15_15_38_12
F2LS3HZVHFM5____	-29.035	-29.035	-28.996	-29.027	-29.031	-29.032	-28.986	-29.031	-28.986	-29.048	-28.996	-29.027	-29.109	-29.032	-29.032	-29.107	-29.067	-29.029	-28.985	-29.031	-28.951	-29.074	-29.066	-29.074	-29.031	-29.031	-29.022	-29.031	-28.998	-29.119	-29.072	-29.072	-142.749	-142.749	-142.745	-142.780	-142.751	-142.717	-142.715	-142.751	-142.715	-142.713	-142.689	-142.780	-142.683	-142.717	-142.717	-142.779	-142.779	-142.750	-142.679	-142.716	-142.747	-142.681	-142.759	-142.681	-142.689	-142.689	-142.658	-142.689	-142.577	-142.754	-142.688	-142.785	258.526	258.526	258.541	258.531	258.528	258.525	258.542	258.528	258.542	258.518	258.536	258.531	258.492	258.525	258.525	258.500	258.516	258.528	258.540	258.525	258.558	258.506	258.515	258.506	258.523	258.523	258.524	258.523	258.527	258.494	258.507	258.514	2016_7_15_15_38_15
F2LS339XHFM1____	-29.328	-29.328	-29.286	-29.320	-29.322	-29.322	-29.288	-29.322	-29.288	-29.289	-29.289	-29.320	-29.398	-29.322	-29.322	-29.398	-29.357	-29.321	-29.289	-29.324	-29.255	-29.359	-29.358	-29.359	-29.324	-29.324	-29.324	-29.324	-29.292	-29.359	-29.361	-29.358	-142.827	-142.827	-142.740	-142.771	-142.743	-142.710	-142.704	-142.743	-142.704	-142.710	-142.717	-142.771	-142.632	-142.710	-142.710	-142.808	-142.805	-142.780	-142.667	-142.743	-142.742	-142.666	-142.786	-142.666	-142.677	-142.677	-142.677	-142.677	-142.566	-142.746	-142.677	-142.773	258.275	258.275	258.285	258.274	258.271	258.268	258.281	258.271	258.281	258.281	258.282	258.274	258.233	258.268	258.268	258.247	258.262	258.274	258.278	258.270	258.297	258.251	258.261	258.251	258.265	258.265	258.265	258.265	258.268	258.257	258.251	258.260	2016_7_15_15_38_20
F2LS3HFRHFM5____	-29.339	-29.339	-29.304	-29.337	-29.340	-29.342	-29.338	-29.340	-29.338	-29.304	-29.305	-29.337	-29.453	-29.342	-29.342	-29.449	-29.411	-29.341	-29.339	-29.343	-29.271	-29.414	-29.409	-29.414	-29.341	-29.341	-29.375	-29.341	-29.346	-29.411	-29.416	-29.412	-142.792	-142.792	-142.794	-142.827	-142.798	-142.762	-142.758	-142.798	-142.758	-142.760	-142.730	-142.827	-142.690	-142.762	-142.762	-142.826	-142.826	-142.793	-142.721	-142.762	-142.796	-142.724	-142.804	-142.724	-142.735	-142.735	-142.699	-142.735	-142.657	-142.767	-142.700	-142.830	258.302	258.302	258.315	258.305	258.302	258.298	258.299	258.302	258.299	258.312	258.310	258.305	258.250	258.298	258.298	258.262	258.277	258.301	258.296	258.298	258.328	258.267	258.275	258.267	258.296	258.296	258.280	258.296	258.288	258.272	258.265	258.277	2016_7_15_15_38_43
F2LS3JESHFM5____	-29.480	-29.480	-29.439	-29.471	-29.474	-29.570	-29.466	-29.474	-29.466	-29.440	-29.441	-29.471	-29.594	-29.570	-29.570	-29.587	-29.547	-29.471	-29.465	-29.512	-29.435	-29.557	-29.510	-29.557	-29.475	-29.475	-29.504	-29.475	-29.480	-29.511	-29.519	-29.552	-142.689	-142.689	-142.685	-142.723	-142.694	-142.656	-142.655	-142.694	-142.655	-142.656	-142.629	-142.723	-142.555	-142.656	-142.656	-142.715	-142.719	-142.692	-142.587	-142.658	-142.686	-142.618	-142.699	-142.618	-142.631	-142.631	-142.598	-142.631	-142.517	-142.660	-142.593	-142.727	258.476	258.476	258.491	258.482	258.479	258.438	258.479	258.479	258.479	258.488	258.486	258.482	258.421	258.438	258.438	258.437	258.453	258.479	258.474	258.461	258.493	258.441	258.465	258.441	258.473	258.473	258.459	258.473	258.462	258.461	258.453	258.451	2016_7_15_15_38_47
F2LS3HFBHFM5____	-29.616	-29.616	-29.579	-29.612	-29.614	-29.616	-29.580	-29.614	-29.580	-29.580	-29.581	-29.612	-29.731	-29.616	-29.616	-29.722	-29.650	-29.613	-29.611	-29.618	-29.543	-29.653	-29.651	-29.653	-29.617	-29.617	-29.647	-29.617	-29.618	-29.655	-29.656	-29.655	-142.740	-142.740	-142.740	-142.738	-142.745	-142.709	-142.703	-142.745	-142.703	-142.709	-142.640	-142.738	-142.633	-142.709	-142.709	-142.772	-142.770	-142.742	-142.632	-142.704	-142.741	-142.672	-142.750	-142.672	-142.680	-142.680	-142.648	-142.680	-142.570	-142.710	-142.643	-142.775	258.385	258.385	258.399	258.387	258.387	258.383	258.396	258.387	258.396	258.397	258.391	258.387	258.333	258.383	258.383	258.347	258.375	258.387	258.378	258.382	258.413	258.366	258.373	258.366	258.380	258.380	258.366	258.380	258.371	258.368	258.362	258.373	2016_7_15_15_38_51
F2LS3A7AHFM2____	-29.552	-29.552	-29.553	-29.585	-29.549	-29.591	-29.541	-29.549	-29.541	-29.555	-29.555	-29.585	-29.666	-29.591	-29.591	-29.661	-29.591	-29.543	-29.542	-29.590	-29.508	-29.631	-29.624	-29.631	-29.591	-29.591	-29.576	-29.591	-29.550	-29.626	-29.627	-29.592	-142.729	-142.729	-142.725	-142.720	-142.728	-142.692	-142.692	-142.728	-142.692	-142.658	-142.625	-142.720	-142.587	-142.692	-142.692	-142.756	-142.722	-142.764	-142.656	-142.692	-142.726	-142.654	-142.692	-142.654	-142.662	-142.662	-142.627	-142.662	-142.548	-142.693	-142.624	-142.762	258.301	258.301	258.300	258.287	258.302	258.283	258.302	258.302	258.302	258.294	258.291	258.287	258.245	258.283	258.283	258.261	258.285	258.307	258.299	258.283	258.317	258.264	258.270	258.264	258.280	258.280	258.283	258.280	258.287	258.269	258.263	258.288	2016_7_15_15_38_56
F2LS3A8AGRXL____	-29.667	-29.667	-29.626	-29.658	-29.662	-29.664	-29.619	-29.662	-29.619	-29.629	-29.678	-29.658	-29.796	-29.664	-29.664	-29.784	-29.702	-29.659	-29.620	-29.664	-29.634	-29.709	-29.701	-29.709	-29.665	-29.665	-29.704	-29.665	-29.678	-29.703	-29.710	-29.707	-142.543	-142.543	-142.544	-142.575	-142.548	-142.506	-142.469	-142.548	-142.469	-142.465	-142.477	-142.575	-142.434	-142.506	-142.506	-142.585	-142.575	-142.500	-142.433	-142.506	-142.543	-142.475	-142.556	-142.475	-142.482	-142.482	-142.451	-142.482	-142.409	-142.517	-142.450	-142.580	258.456	258.456	258.472	258.462	258.459	258.455	258.469	258.459	258.469	258.465	258.447	258.462	258.398	258.455	258.455	258.415	258.446	258.456	258.466	258.455	258.469	258.435	258.444	258.435	258.452	258.452	258.435	258.452	258.442	258.441	258.432	258.444	2016_7_15_15_39_01
F2LS39Q6GRXL____	-29.480	-29.480	-29.473	-29.511	-29.478	-29.476	-29.471	-29.478	-29.471	-29.442	-29.442	-29.511	-29.551	-29.476	-29.476	-29.549	-29.543	-29.514	-29.440	-29.478	-29.403	-29.517	-29.545	-29.517	-29.476	-29.476	-29.474	-29.476	-29.442	-29.552	-29.547	-29.548	-142.687	-142.687	-142.727	-142.760	-142.694	-142.701	-142.693	-142.694	-142.693	-142.697	-142.669	-142.760	-142.622	-142.701	-142.701	-142.756	-142.758	-142.731	-142.626	-142.700	-142.727	-142.655	-142.737	-142.655	-142.672	-142.672	-142.635	-142.672	-142.556	-142.699	-142.634	-142.763	258.359	258.359	258.365	258.353	258.360	258.362	258.363	258.360	258.363	258.374	258.372	258.353	258.326	258.362	258.362	258.338	258.341	258.350	258.370	258.361	258.392	258.342	258.338	258.342	258.359	258.359	258.357	258.359	258.363	258.332	258.329	258.339	2016_7_15_15_39_06
F2LS38VQGRXL____	-29.595	-29.595	-29.562	-29.592	-29.597	-29.600	-29.558	-29.597	-29.558	-29.565	-29.563	-29.592	-29.676	-29.600	-29.600	-29.667	-29.628	-29.598	-29.558	-29.600	-29.523	-29.635	-29.632	-29.635	-29.598	-29.598	-29.595	-29.598	-29.569	-29.632	-29.640	-29.633	-142.677	-142.677	-142.677	-142.708	-142.679	-142.601	-142.633	-142.679	-142.633	-142.638	-142.607	-142.708	-142.568	-142.601	-142.601	-142.705	-142.704	-142.673	-142.594	-142.631	-142.680	-142.602	-142.681	-142.602	-142.609	-142.609	-142.571	-142.609	-142.497	-142.644	-142.573	-142.754	258.372	258.372	258.385	258.376	258.372	258.364	258.383	258.372	258.383	258.381	258.380	258.376	258.333	258.364	258.364	258.347	258.362	258.371	258.380	258.367	258.400	258.351	258.359	258.351	258.366	258.366	258.364	258.366	258.368	258.356	258.347	258.364	2016_7_15_15_39_12
F2LS30UNGRX8____	-29.393	-29.393	-29.353	-29.383	-29.387	-29.390	-29.344	-29.387	-29.344	-29.355	-29.353	-29.383	-29.463	-29.390	-29.390	-29.463	-29.425	-29.386	-29.343	-29.389	-29.311	-29.428	-29.425	-29.428	-29.390	-29.390	-29.380	-29.390	-29.351	-29.425	-29.429	-29.427	-142.674	-142.674	-142.674	-142.703	-142.674	-142.639	-142.640	-142.674	-142.640	-142.638	-142.608	-142.703	-142.570	-142.639	-142.639	-142.704	-142.704	-142.710	-142.601	-142.638	-142.674	-142.642	-142.680	-142.642	-142.610	-142.610	-142.576	-142.610	-142.493	-142.644	-142.573	-142.710	258.423	258.423	258.438	258.429	258.425	258.421	258.439	258.425	258.439	258.434	258.433	258.429	258.388	258.421	258.421	258.398	258.413	258.428	258.436	258.421	258.454	258.407	258.411	258.407	258.419	258.419	258.420	258.419	258.425	258.408	258.401	258.413	2016_7_15_15_39_16
F2LS3957GRXL____	-29.524	-29.524	-29.487	-29.521	-29.523	-29.527	-29.489	-29.523	-29.489	-29.491	-29.491	-29.521	-29.601	-29.527	-29.527	-29.594	-29.559	-29.525	-29.490	-29.527	-29.453	-29.559	-29.560	-29.559	-29.526	-29.526	-29.525	-29.526	-29.490	-29.561	-29.561	-29.560	-142.737	-142.737	-142.737	-142.770	-142.738	-142.702	-142.700	-142.738	-142.700	-142.700	-142.670	-142.770	-142.631	-142.702	-142.702	-142.769	-142.768	-142.735	-142.662	-142.705	-142.743	-142.668	-142.743	-142.668	-142.672	-142.672	-142.638	-142.672	-142.567	-142.706	-142.640	-142.773	258.305	258.305	258.319	258.309	258.305	258.301	258.315	258.305	258.315	258.315	258.312	258.309	258.267	258.301	258.301	258.281	258.294	258.304	258.312	258.301	258.333	258.286	258.292	258.286	258.299	258.299	258.297	258.299	258.304	258.288	258.283	258.294	2016_7_15_15_39_27
